ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,watchlist_reason
GM,84.07,-0.7270696305102319,-0.95,-0.95,-0.058278522040927754,0.0,0.12,1.0,0.95,1.0699999999999998,0.95,1.0699999999999998,-70.80739735872697,-34.46294371402629,24.81204823082945,-70.80739735872697,24.81204823082945,False,,-1.4099315298444903,0.40918770000000004,1.0,0.4635851079795361,0.2487,-1.0699999999999998,0.40918770000000004,invalid,irr_below_solver_bound,irr_5y[base],forward_roic_floor_hit;share_change_floor_hit;reinvestment_cap_hit,,False,ok,True,bear;base,General Motors Company,Consumer Cyclical,Auto - Manufacturers,general_dcf,75802992944.0,0.2487,0.012923644576468926,-0.24899975272828603,0.08679807673658349,-0.07387443216011456,0.054134788670623685,0.013443612117666813,0.03335752810947534,6.019923103809857,0.0,-0.14167131736471228,elevated_leverage;thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-04-28,2026-06-15,True,irr_below_solver_bound
LHX,304.17,-0.573215899981733,-0.95,-0.95,-0.19643179996346583,0.0,0.12,0.5,0.95,1.0699999999999998,0.95,1.0699999999999998,,56.34059755544046,,,,True,"growth destroys value: forward ROIC 2.5% at/below WACC 8.0%, so higher-growth scenarios reinvest below the cost of capital and are worth less than the bear case",-0.8147726680624636,,1.0,,0.3876,-1.0699999999999998,,invalid,invalid_valuation_output,irr_5y[bear];irr_5y[bull];scenario[bear];scenario[bull],reinvestment_cap_hit,,False,ok,False,,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,general_dcf,56665350150.0,0.3876,0.061126734566712984,0.009203348926480491,0.08009572674309647,-0.01896899217638348,0.09833066544706151,0.09934599813142324,0.18155465427374273,3.1317626527050613,0.01647870642154591,-0.009152778754501045,elevated_leverage;thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-04-30,2026-06-15,True,invalid_valuation_output
