ticker,event_date,source,event_type,detail,revaluation_status
CHTR,2026-06-15,price_shock,drawdown_from_high,-41%,requires_reunderwriting
SMCI,2026-06-15,price_shock,weekly_drop,-34%,requires_reunderwriting
