ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,watchlist,step2_model_routing,insurance_model_not_supported,,,,,,,,,,,,,
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,117,False,-0.2964692343203933,-0.03820147460955921,-0.024467463544715396,-0.1764692343203933,0.2964692343203933,0.9387,0.58716,0.85,0.499086,False,
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,watchlist,step2_model_routing,bank_model_not_supported,,,,,,,,,,,,,
V,Visa Inc.,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3381,1.0,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,72,False,-0.2188664653355954,-0.015932819109002568,-0.00733815197600049,-0.0988664653355954,0.2188664653355954,0.9495,0.9162,1.0,0.9162,False,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,216,False,-0.48005831356451384,-0.24005229440226689,-0.22248838661471382,-0.36005831356451384,0.48005831356451384,0.7109,0.71307,1.0,0.71307,False,
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,232,False,-0.549983033028111,-0.2773396247792334,-0.257640112482477,-0.4299830330281111,0.549983033028111,0.7047,0.644,1.0,0.644,False,
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,watchlist,step2_model_routing,bank_model_not_supported,,,,,,,,,,,,,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,107,False,-0.28010687334346585,0.005664128049829752,0.023258999525569403,-0.16010687334346588,0.28010687334346585,0.8473,0.6379,1.0,0.6379,False,
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,34,False,-0.14470640579122115,0.024404750988469483,0.019087226290139404,-0.02470640579122116,0.14470640579122115,0.7431,0.666711,1.0,0.666711,False,
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3137,1.0,,,
GE,GE Aerospace,Industrials,Aerospace & Defense,hard_filter_rejected,step2_hard_filters,security_type,,,,,,,,,,,,,
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,76,False,-0.2245390060055069,0.01733093410875884,0.03016520816599953,-0.10453900600550692,0.2245390060055069,0.9109,0.8372,1.0,0.8372,False,
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,127,False,-0.30600964311044654,-0.05933082896663105,-0.04383356911712324,-0.18600964311044657,0.30600964311044654,0.9102,0.8097,1.0,0.8097,False,
MS,Morgan Stanley,Financial Services,Financial - Capital Markets,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,88,False,-0.25003056359011677,-0.09485379391189779,-0.09722528610436708,-0.13003056359011678,0.25003056359011677,0.9638,0.7692300000000001,1.0,0.7692300000000001,False,
GS,"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,114,False,-0.29286874950514163,0.028513660842145357,0.05060183391906323,-0.17286874950514167,0.29286874950514163,0.7952,0.6752,1.0,0.6752,False,
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,77,False,-0.2250477809942094,0.002329045319493187,0.015862396528245906,-0.1050477809942094,0.2250477809942094,0.9783,0.8815,1.0,0.8815,False,
DELL,Dell Technologies Inc.,Technology,Computer Hardware,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,224,False,-0.4978414603933924,-0.21991979589620309,-0.2059384587279055,-0.3778414603933924,0.4978414603933924,0.6976,0.5747399999999999,1.0,0.5747399999999999,False,
GEV,GE Vernova Inc.,Utilities,Renewable Utilities,hard_filter_rejected,step2_hard_filters,listing_age,,,,,,,,,,,,,
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,watchlist,step2_model_routing,bank_model_not_supported,,,,,,,,,,,,,
IBM,International Business Machines Corporation,Technology,Information Technology Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,203,False,-0.44346751316508753,-0.14705230829058563,-0.12313976907462343,-0.32346751316508754,0.44346751316508753,0.7569,0.7055,0.85,0.599675,False,
RTX,RTX Corporation,Industrials,Aerospace & Defense,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,219,False,-0.48593200129282194,-0.17176462422430627,-0.14825031236978242,-0.36593200129282194,0.48593200129282194,0.4496,0.55728,1.0,0.55728,False,
C,Citigroup Inc.,Financial Services,Banks - Diversified,watchlist,step2_model_routing,bank_model_not_supported,,,,,,,,,,,,,
AXP,American Express Company,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,157,False,-0.35778553423180703,-0.1596201612774166,-0.15333983982563948,-0.23778553423180704,0.35778553423180703,0.9218,0.502281,1.0,0.502281,False,
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,92,False,-0.25897919607115905,-0.0038842121881316125,0.013574477587826579,-0.13897919607115905,0.25897919607115905,0.9395,0.7364700000000001,1.0,0.7364700000000001,False,
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,44,False,-0.17055782799609,-0.005820990109350506,-0.01655214361380783,-0.050557827996090016,0.17055782799609,0.7606,0.6580683,1.0,0.6580683,False,
