ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941740999.9999999,0.517,1034568410370.0,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,1098.57,2026-06-18,1034568410369.9998,3263951616.3554544,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144950000.0,0.149,571215559500.0,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,137.81,2026-06-18,571215559500.0,3005661854.4163637,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1943-01-02,Healthcare,Drug Manufacturers - General,US,2407216971.0013576,0.256,549784284006.69,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,228.39,2026-06-18,549784284007.0,1879638058.4772727,True
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2876046000.0,1.655,530026517340.0,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,184.29,2026-06-18,530026517340.0,4824764670.223333,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.603,454105167340.0,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,985.82,2026-06-18,454105167340.0,2279786923.6775756,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.9989383,0.309,382492977818.29004,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,216.49,2026-06-18,382492977818.0602,1283566399.5657575,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144404.0003991,0.65,364129580227.83997,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,400.96,2026-06-18,364129580228.0,2848905890.7427273,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2328598978.002394,0.385,350174714311.64,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,150.38,2026-06-18,350174714312.0,1293232914.230606,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.472,345801508000.0,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,173.63,2026-06-18,345801508000.0,2026610111.3424244,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1919-09-05,Consumer Defensive,Beverages - Non-Alcoholic,US,4302482417.999748,0.354,341574079165.02,2026-06-18,fmp:company-screener,2026-06-22T07:51:49.185425+00:00,79.39,2026-06-18,341574079165.0,1287472753.1869698,True
