ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,cashflow_period_semantics,ttm_cashflow_status,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,margin_mad_z,ocf_margin_mad_z,one_off_suspected,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,sec_status,sec_max_divergence,sec_confidence_penalty,model_family,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,share_count_alignment,statement_shares_diluted_raw
TSN,"Tyson Foods, Inc.",NYSE,common_stock,False,1980-03-17,Consumer Defensive,Agricultural Farm Products,US,355999456.9960332,0.382,19743729885.22,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,55.46,2026-06-18,19743729885.0,193017055.27272728,True,8,2025,ttm,2026-05-04,discrete,ok,55710000000.0,0.04482396796231858,0.04661147648549557,0.06549991024950637,0.0230479267635972,1284000000.0,0.0,0.06748815026900128,3759764851.486061,2922850228.0133758,1482207024.4159794,4.187025492700506,0.03251415042572255,0.2225975975975976,0.0388686065450989,-2.0474368084662204,7583000000.0,8083000000.0,True,3.057142857142857,2.8701741105223317,0.0018368509028122188,-1.4541784371930537,-0.6459058888254056,False,701000000.0,272000000.0,-0.00833372078387895,3.891956751054852,354000000.0,unchecked,,0.0,general_dcf,0.02982294481090264,0.019631901837406273,True,0.0446,0.06848696623739606,0.06576824324324325,-0.02961835969229716,45,1.0,,
IFF,International Flavors & Fragrances Inc.,NYSE,common_stock,False,1974-12-17,Basic Materials,Chemicals - Specialty,US,255303473.00573516,0.956,19586882448.56,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,76.72,2026-06-18,19586882449.0,135507787.29727274,True,8,2025,ttm,2026-05-05,discrete,ok,10788000000.0,0.15474910231569639,0.4539990238864491,0.36345939933259175,0.07563959955506118,816000000.0,0.0,0.07201006934549255,776844628.0991735,641559297.8915975,727637661.1565374,2.831274946134387,0.11077549972097636,0.1741472172351885,0.034781722360572184,,5255000000.0,5817000000.0,True,4.03960396039604,2.804162219850587,0.0056625141562853904,0.05063939784107979,-0.813001760198834,False,409000000.0,96000000.0,0.0026075737341737515,4.403292181069959,257000000.0,unchecked,,0.0,general_dcf,-0.02186453141439204,0.02046511632757554,True,0.0446,0.08251280041471576,0.049220825852782764,-0.047731078054143575,44,1.0,,
DD,"DuPont de Nemours, Inc.",NYSE,common_stock,False,1972-06-01,Basic Materials,Chemicals - Specialty,US,409921000.0,1.076,19557330910.0,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,47.71,2026-06-18,19557330910.0,176456458.96242425,True,8,2025,annual,2026-02-17,annual,annual_anchor,6849000000.0,-0.15676675554909192,0.1705169151896925,0.30252591619214486,0.12556577602569718,860000000.0,0.0,0.1422084324504564,973985553.8531758,685556682.6568762,729382869.6608502,1.7399400516718755,0.017919565481706215,0.29613259668508285,0.03700941347828496,,2437000000.0,3194000000.0,True,2.747603833865815,1.617120106171201,0.0,-1.6711320427733378,0.5129191352257606,False,597000000.0,500000000.0,-0.0566831791947946,3.9034902763906123,419200000.0,unchecked,,0.0,general_dcf,0.04742477795414213,0.019580419616111254,True,0.0446,0.09294555427287272,0.059547182320441996,-0.055936140794587766,121,0.85,,
FTV,Fortive Corporation,NYSE,common_stock,False,2016-07-05,Industrials,Industrial - Machinery,US,304861021.00606257,0.989,18605668111.63,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,61.03,2026-06-18,18605668112.0,182587436.80212122,True,8,2025,ttm,2026-04-30,discrete,ok,4737799999.0,-0.03190008590079263,0.14432034672582747,0.6182827473971638,0.177297479880387,840000000.0,0.0,0.17465117318383777,827462328.1357354,713099528.0501763,895138330.9643248,2.8616954314716265,0.024110833965281582,0.138209071515337,0.07854780003766418,,3133000000.0,3489100000.0,True,6.994171523730225,2.4938310912998487,0.018680032314972055,0.1350401692348783,0.13757361179319694,False,83400000.0,1251600000.0,-0.0464720994483494,1.8331132188738144,312800000.0,unchecked,,0.0,general_dcf,0.04898425434263065,0.02546296289403944,True,0.0446,0.08730903216445215,0.05136273933768591,-0.008761232126787977,49,1.0,,
EFX,Equifax Inc.,NYSE,common_stock,False,1980-03-17,Industrials,Consulting Services,US,120634596.99863574,1.314,18569283516.21,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,153.93,2026-06-18,18569283516.0,310089731.01,True,8,2025,ttm,2026-04-21,discrete,ok,6281400000.0,0.08588569570479487,0.06415271617826504,0.44669978030375396,0.18260260451491706,1147000000.0,0.0,0.17880493808027148,1123145338.0574174,862520544.1999607,641102338.3145431,5.307138562206483,0.09573937238314359,0.23204903677758318,0.09113329555073894,-0.03812143496395194,5124700000.0,5308100000.0,True,5.332403533240353,2.7251794735442703,0.013636708956924714,0.12129270386323694,0.7707332200362613,False,251400000.0,1176600000.0,-0.0068047834466663515,2.192517795067042,120800000.0,unchecked,,0.0,general_dcf,0.11592487205090007,0.02373887238423214,True,0.0446,0.09595452770397686,0.04576987740805605,-0.004821232153237917,58,1.0,,
LII,Lennox International Inc.,NYSE,common_stock,False,1999-07-29,Industrials,Construction,US,34800000.0,1.19,18528564000.0,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,532.43,2026-06-18,18528564000.0,230093852.9212121,True,8,2025,ttm,2026-04-29,discrete,ok,5257800000.0,0.04243489707952652,0.0724729774242743,0.3305755258853513,0.19515767050857774,1026100000.0,0.0,0.1496697217049871,786933462.7804812,634317736.1997958,494095237.42645645,14.117006783613041,0.02489165309998605,0.19393726890383645,0.2652154711658351,0.1663844299821386,1904700000.0,1954900000.0,True,20.56312625250501,1.6675713535282788,0.005601216484129886,1.6865023420059164,0.5105757222541772,False,207200000.0,421700000.0,-0.007504973290857975,1.1720163589044492,35000000.0,unchecked,,0.0,general_dcf,0.06390003961412627,0.021352313188211073,True,0.0446,0.098749875781166,0.048041338773331346,0.1664655953846691,50,1.0,,
GIS,"General Mills, Inc.",NYSE,common_stock,False,1980-03-17,Consumer Defensive,Packaged Foods,US,533681000.0,-0.041,17835619020.0,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,33.42,2026-06-18,17835619020.0,321157274.319394,True,8,2025,ttm,2026-03-18,discrete,ok,18371200000.0,0.030969358987418705,0.031958982068012516,0.3297226093015154,0.19067888869534924,3503000000.0,0.0,0.17023929762976736,3127500184.615982,2551170306.4514403,2386947233.8385386,4.399902735186246,0.01028066531296247,0.1842781276239341,0.12685506288132822,0.03707405396550694,13182200000.0,13967700000.0,True,6.660962160106484,3.251091326115372,0.004799266764699958,2.043959106558188,-2.731353671756134,False,1317500000.0,801300000.0,-0.03969855281702417,1.2714360404322063,542500000.0,unchecked,,0.0,general_dcf,-0.05700510596054331,0.027100270983714266,True,0.0446,0.065,0.04861702359361353,0.06185506288132822,92,1.0,,
NVR,"NVR, Inc.",NYSE,common_stock,False,1985-07-22,Consumer Cyclical,Residential Construction,US,2699292.000067787,0.924,17520915421.56,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,6490.93,2026-06-18,17520915422.0,174562352.92393938,True,8,2025,ttm,2026-05-06,discrete,ok,9702281000.0,0.05334976012067316,0.09625627066574248,0.22818531023787086,0.1571284113498671,1524504000.0,0.0,0.16300107727747046,1581482255.0487332,1281326660.005708,1136768893.0289052,388.24074215468073,0.02972053812111813,0.189793843139755,0.43890376158831373,0.15018659962693287,-679835000.0,1049852000.0,True,54.561540388676136,-0.4386105831452657,0.007011381627723662,-0.1285955095582411,0.12022650961880482,False,0.0,1881878000.0,-0.05851037133837722,0.8369208906297582,2928000.0,unchecked,,0.0,general_dcf,-0.06240809011537474,0.00626304806535173,True,0.0446,0.08839670637427284,0.0482882869488706,0.3505070552140409,43,1.0,,
ZBH,"Zimmer Biomet Holdings, Inc.",NYSE,common_stock,False,2001-07-25,Healthcare,Medical - Devices,US,193462482.00522906,0.472,17018894541.539999,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,87.97,2026-06-18,17018894542.0,193772533.59575757,True,8,2025,ttm,2026-05-01,discrete,ok,8409200000.0,0.005292468669956474,0.10513002991211452,0.7003163202207107,0.15605527279646103,1312300000.0,0.0,0.13425669510777075,1128991400.5002658,996913523.4158583,1317362213.509169,6.72810119259024,0.06343278649486037,0.11698749611899856,0.058761228839764416,1.620416730156763,7046800000.0,7471000000.0,True,4.442450914014895,2.909856712226948,0.013153439429062589,0.4381970457569122,-0.2474427768209614,False,189400000.0,270300000.0,-0.02353247349355425,1.6589953529541934,195800000.0,unchecked,,0.0,general_dcf,0.04133652503993579,0.01522248241984785,True,0.0446,0.065,0.052627545231307686,-0.006238771160235586,48,1.0,,
IEX,IDEX Corporation,NYSE,common_stock,False,1989-06-02,Industrials,Industrial - Machinery,US,74015051.9983995,0.991,16648205646.36,2026-06-18,fmp:company-screener,2026-06-22T08:30:53.996521+00:00,224.93,2026-06-18,16648205646.0,156450072.16060606,True,8,2025,ttm,2026-04-29,discrete,ok,3530100000.0,0.048393072016545746,0.07811551399627946,0.4441800515566131,0.2080394323106994,734400000.0,0.0,0.2322517632887101,819871949.5854756,642069584.8592956,613122755.9138675,8.240897256906822,0.012666381903102823,0.21686601769468536,0.10724302086651309,0.02470218066916018,1313100000.0,1899300000.0,True,11.421461897356144,1.389965068275643,0.0078928046989721,-2.4212330978010703,-0.8668723188856409,False,213000000.0,274100000.0,-0.007067373967917012,1.322970297029703,74400000.0,unchecked,,0.0,general_dcf,0.055547198415253574,0.011049723511987146,True,0.0446,0.08928844735165595,0.04667478534539675,0.017954573514857144,50,1.0,,
