ticker,event_date,source,event_type,detail,revaluation_status
ACN,2026-06-18,price_shock,weekly_drop,-26%,requires_reunderwriting
CHTR,2026-06-18,price_shock,drawdown_from_high,-48%,requires_reunderwriting
