ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,watchlist_reason
GM,86.27,-0.7365912987588671,-0.95,-0.95,-0.09636519503546875,0.0,0.12,1.0,0.95,1.0699999999999998,0.95,1.0699999999999998,-70.5062532524861,-37.62867331948139,14.705139290295842,-70.5062532524861,14.705139290295842,False,,-1.436173331627233,0.4171338000000001,1.0,0.44430338848226564,0.2487,-1.0699999999999998,0.4171338000000001,invalid,irr_below_solver_bound,irr_5y[base],forward_roic_floor_hit;share_change_floor_hit;reinvestment_cap_hit,,False,ok,True,bear;base,General Motors Company,Consumer Cyclical,Auto - Manufacturers,general_dcf,78027034442.0,0.2487,0.009503743709599695,-0.24899975272828603,0.08998057663069858,-0.08047683292109889,0.054134788670623685,0.009777552593423059,0.03335752810947534,6.218478260869565,0.0,-0.14167131736471228,elevated_leverage;thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-07-21,2026-08-28,True,irr_below_solver_bound
LHX,262.82,-0.5481877536643878,-0.95,-0.95,-0.14637550732877563,0.0,0.12,0.5,0.95,1.0699999999999998,0.95,1.0699999999999998,,68.91922833791345,,,,True,"growth destroys value: forward ROIC 2.5% at/below WACC 7.9%, so higher-growth scenarios reinvest below the cost of capital and are worth less than the bear case",-0.7377702292903376,,1.0,,0.3876,-1.0699999999999998,,invalid,invalid_valuation_output,irr_5y[bear];irr_5y[bull];scenario[bear];scenario[bull],reinvestment_cap_hit,,False,ok,False,,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,general_dcf,48941026300.0,0.3876,0.06329029891152879,0.009203348926480491,0.07860410224628998,-0.015313803334761192,0.09833066544706151,0.10042735042735043,0.18155465427374273,2.7134268537074147,0.01647870642154591,-0.009152778754501045,thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-07-30,2026-08-28,True,invalid_valuation_output
