ticker,event_date,source,event_type,detail,revaluation_status
CHRW,2026-07-31,price_shock,weekly_drop,-29%,requires_reunderwriting
GLW,2026-07-31,price_shock,drawdown_from_high,-46%,requires_reunderwriting
MRVL,2026-07-31,price_shock,drawdown_from_high,-41%,requires_reunderwriting
ORCL,2026-07-31,price_shock,drawdown_from_high,-47%,requires_reunderwriting
QCOM,2026-07-31,price_shock,drawdown_from_high,-41%,requires_reunderwriting
SMCI,2026-07-31,price_shock,drawdown_from_high,-43%,requires_reunderwriting
