as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-07-31,OMC,1,78.7,0.12521108839720468,0.29775880509841957,0.30466323093278336,0.20900996177806522,0.37269879675004625,0.8331,0.678051
2026-07-31,UHS,2,168.44,0.10736098255636871,0.2573689288532478,0.27502738288603723,0.10841622303705661,0.37100472660385997,0.7792,0.7672500000000001
2026-07-31,FOXA,3,58.23,0.08750435363419994,0.2588685850496404,0.2799674554727972,0.09817011710256342,0.3773693121504038,0.8946,0.683478
2026-07-31,VICI,4,26.35,0.08737476114156498,0.2610185138320446,0.3020307523782604,0.1379817981933973,0.3020307523782604,0.5100002265056965,0.48
2026-07-31,TTD,5,18.04,0.06421286436008287,0.24402255476452409,0.27247174168005583,0.07550051254220307,0.35564622315578165,0.9118,0.713
2026-07-31,ARE,6,51.45,0.06269216450188518,0.2279693559587206,0.2506086760455941,0.1600513956981,0.2506086760455941,0.6867188495237015,0.48
2026-07-31,CMCSA,7,23.96,0.034825868675877086,0.19355002082884315,0.195547064463608,0.14531523175537595,0.23779072263278067,0.7585,0.460982421
2026-07-31,CPT,8,110.81,0.014028724780938868,0.18507237782047642,0.21772253432578048,0.08712190830456423,0.21772253432578048,0.5670867832960593,0.48
2026-07-31,BXP,9,70.12,0.012787066627853227,0.17048078955114981,0.19505400459394684,0.09676114442275874,0.19505400459394684,0.6510624117301681,0.48
2026-07-31,HUM,10,363.86,0.008292293233543822,0.18410381674766543,0.18972448681888637,0.08549979586678094,0.27146649748610807,0.7634,0.6137370000000001
2026-07-31,ELV,11,375.84,0.005297330165720973,0.1456537258840399,0.13567911911959527,0.11479181862378031,0.19646484667318878,0.8235,0.6700320000000001
