ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.506,1081589538500.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,1148.84,2026-07-31,1081909730439.9999,3382655333.8919353,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144963050.0,0.162,644375955753.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,155.44,2026-07-31,644293056492.0,2508600264.9935484,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2409898491.000585,0.235,617777478168.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,256.35,2026-07-31,617777478168.0,2047694249.4209678,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.998505,0.283,443244148968.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,250.94,2026-07-31,443358990501.36487,1459157572.748387,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.488,392086292000.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,196.83,2026-07-31,392006628000.0,1676918945.7087097,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302480000.0,0.349,376854223200.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,87.59,2026-07-31,376854223200.0,1471570606.4906452,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144404.0009654,0.633,376335041018.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,414.4,2026-07-31,376335041018.0,2620971595.9570966,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.00000006,1.565,375331633970.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,814.81,2026-07-31,375331633970.0,3004216401.312903,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2328600000.0,0.38,336459414000.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,144.49,2026-07-31,336459414000.0,1286720625.2329032,True
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997117000.0000001,0.951,331002959320.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,331.96,2026-07-31,331002959320.0,1637120125.9925807,True
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.205,321619960400.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,130.22,2026-07-31,321619960400.0,1236006897.5696776,True
PM,Philip Morris International Inc.,NYSE,common_stock,False,2008-03-17,Consumer Defensive,Tobacco,US,1558610000.0,0.405,297413960200.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,190.82,2026-07-31,297413960200.0,903785418.0016129,True
RTX,RTX Corporation,NYSE,common_stock,False,1952-09-15,Industrials,Aerospace & Defense,US,1347758114.998606,0.298,290064501510.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,215.22,2026-07-31,290064501510.0,1016452099.7583871,True
DELL,Dell Technologies Inc.,NYSE,common_stock,False,2016-08-17,Technology,Computer Hardware,US,664250943.0006169,1.376,269187694651.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,405.25,2026-07-31,269187694651.0,3607896813.205161,True
ANET,"Arista Networks, Inc.",NYSE,common_stock,False,2014-06-06,Technology,Computer Hardware,US,1259169437.9983366,1.601,227091208143.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,180.35,2026-07-31,227091208143.0,1517950439.8851614,True
TMO,Thermo Fisher Scientific Inc.,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Diagnostics & Research,US,371621000.0,0.868,213421940300.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,574.3,2026-07-31,213421940299.99997,1243415745.735484,True
IBM,International Business Machines Corporation,NYSE,common_stock,False,1915-09-24,Technology,Information Technology Services,US,942134000.0,0.675,210708269100.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,223.65,2026-07-31,210708269100.0,2791323584.658387,True
APH,Amphenol Corporation,NYSE,common_stock,False,1991-11-08,Technology,"Hardware, Equipment & Parts",US,1230230000.0,1.243,197697961000.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,160.7,2026-07-31,197697961000.0,1412875701.0196774,True
VZ,Verizon Communications Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,4175560000.0,0.238,195457963600.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,46.81,2026-07-31,195457963600.0,1329917470.0887096,True
MCD,McDonald's Corporation,NYSE,common_stock,False,1965-04-21,Consumer Cyclical,Restaurants,US,710506000.0,0.418,192291343840.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,270.64,2026-07-31,192291343840.0,1261837171.4432256,True
ABT,Abbott Laboratories,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,1741810000.0,0.607,184109317000.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,105.7,2026-07-31,184109317000.0,1240301932.4016128,True
TJX,"The TJX Companies, Inc.",NYSE,common_stock,False,1987-06-26,Consumer Cyclical,Apparel - Retail,US,1104704446.002288,0.623,173814197534.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,157.34,2026-07-31,173814197534.0,944434382.5812904,True
UNP,Union Pacific Corporation,NYSE,common_stock,False,1980-01-02,Industrials,Railroads,US,594075498.00089,0.965,173547275231.0,2026-07-31,fmp:company-screener,2026-08-01T02:02:06.715478+00:00,292.13,2026-07-31,173547275231.0,813813579.2603226,True
