scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,185.83037867710195,-0.1833284575085945,,185.83037867710195,-0.6367236605600697,0.054532922019239635,0.025,valid,True,BRK-B,insurance,511.54,
base,0.5,705.0450621665948,0.06627065045884528,,705.0450621665948,0.37827943497398975,0.13704863806039103,0.025,valid,True,BRK-B,insurance,511.54,
bull,0.25,1094.9068139108701,0.16439280147525825,,1094.9068139108701,1.1404128981328343,0.19900705839248375,0.025,valid,True,BRK-B,insurance,511.54,
bear,0.25,141.52548277052622,-0.16649112010730738,,141.52548277052622,-0.5976989602588868,0.10310767488802763,0.025,valid,True,JPM,bank,351.79,
base,0.5,239.90056037896923,-0.07370449945769442,,239.90056037896923,-0.31805747639509585,0.1574007140531622,0.025,valid,True,JPM,bank,351.79,
bull,0.25,295.49582394852223,-0.034274783702355816,,295.49582394852223,-0.16002210424252472,0.18808364611032238,0.025,valid,True,JPM,bank,351.79,
bear,0.25,20.021279712107447,-0.20220721479080195,,20.021279712107447,-0.6768155010152148,0.0654848946672089,0.025,valid,True,BAC,bank,61.95,
base,0.5,37.39149136120077,-0.09604607395189324,,37.39149136120077,-0.39642467536399084,0.10060908248500378,0.025,valid,True,BAC,bank,61.95,
bull,0.25,47.29846543031983,-0.05253942395542499,,47.29846543031983,-0.23650580419177036,0.12064190793004807,0.025,valid,True,BAC,bank,61.95,
bear,0.25,36.49058292218879,-0.15844372873107626,,36.49058292218879,-0.5778995613396323,0.06930626712072673,0.025,valid,True,WFC,bank,86.45,
base,0.5,70.09233034342468,-0.041082818311190095,,70.09233034342468,-0.18921538064286092,0.1101049575703439,0.025,valid,True,WFC,bank,86.45,
bull,0.25,90.09173317958097,0.008286584572327671,,90.09173317958097,0.042125311504696006,0.13438790438440948,0.025,valid,True,WFC,bank,86.45,
bear,0.25,16.969992907328965,-0.3369810525741589,,16.969992907328965,-0.8718762332402494,0.03649441774981295,0.025,valid,True,C,bank,132.45,
base,0.5,62.31695874450387,-0.13997543242593835,,62.31695874450387,-0.5295057852434588,0.06720963206165122,0.025,valid,True,C,bank,132.45,
bull,0.25,92.77999999912686,-0.0687195606579648,,92.77999999912686,-0.2995092487797141,0.0878434015642418,0.025,valid,True,C,bank,132.45,
bear,0.25,49.61991451639022,-0.26696474927532643,,49.61991451639022,-0.7883470631445564,,0.025,valid,True,WELL,reit,234.44,0.039999999999999994
base,0.5,90.00817377169015,-0.17424721427155565,,90.00817377169015,-0.6160716013833384,,0.025,valid,True,WELL,reit,234.44,0.06
bull,0.25,90.00817377169015,-0.17424721427155565,,90.00817377169015,-0.6160716013833384,,0.025,valid,True,WELL,reit,234.44,0.06
bear,0.25,68.66782895977508,-0.13838946969308719,,68.66782895977508,-0.5251515873053381,,0.025,valid,True,PLD,reit,144.61,0.039999999999999994
base,0.5,95.67216748329989,-0.07930145376962772,,95.67216748329989,-0.3384125061662411,,0.025,valid,True,PLD,reit,144.61,0.06
bull,0.25,95.67216748329989,-0.07930145376962772,,95.67216748329989,-0.3384125061662411,,0.025,valid,True,PLD,reit,144.61,0.06
bear,0.25,55.72736423921883,-0.2340781011862274,,55.72736423921883,-0.7364139426770464,0.07634698720976336,0.025,valid,True,PGR,insurance,211.42,
base,0.5,181.7720510813209,-0.029766629394504363,,181.7720510813209,-0.14023247052634136,0.19248409528036692,0.025,valid,True,PGR,insurance,211.42,
bull,0.25,276.4810202771521,0.05512484867359757,,276.4810202771521,0.30773351753453837,0.2797485890589154,0.025,valid,True,PGR,insurance,211.42,
bear,0.25,20.995184651420967,-0.3307082462733816,,20.995184651420967,-0.8656995800459223,0.050176013625909094,0.025,valid,True,BNY,bank,156.33,
base,0.5,51.99552533485419,-0.1976114393005456,,51.99552533485419,-0.6673989296049754,0.08734953757494074,0.025,valid,True,BNY,bank,156.33,
bull,0.25,72.06927713579572,-0.14347199415781464,,72.06927713579572,-0.5389926620879184,0.11142063088773126,0.025,valid,True,BNY,bank,156.33,
bear,0.25,105.67773829710406,-0.15811285417681387,,105.67773829710406,-0.5770691227554166,0.07128627375882023,0.025,valid,True,PNC,bank,249.87,
