as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-07-10,UHS,1,155.57,0.14012617496410412,0.28407897638826396,0.3025272566941567,0.1309085556305946,0.400352836534148,0.7825,0.7677
2026-07-10,FOXA,2,54.12,0.13283617462820982,0.2916078089911025,0.3140772512648255,0.12352068834006788,0.4147560450946912,0.8982,0.68445
2026-07-10,CTSH,3,42.57,0.10333743837833406,0.22962648841785271,0.23850623667240145,0.14063241623807707,0.30086106408853086,0.8655,0.872
2026-07-10,VICI,4,26.01,0.10061747710953922,0.2851262683218816,0.3296197439782067,0.15164584135290626,0.3296197439782067,0.48748071674379967,0.48
2026-07-10,ARE,5,47.88,0.07647390685128902,0.25541132775192393,0.2793206392735188,0.18368339318713933,0.2793206392735188,0.6780796969476214,0.48
2026-07-10,OMC,6,81.93,0.0710145704657309,0.23630877481336943,0.24303935726638887,0.15275182490004224,0.30640455982065773,0.8012,0.57716955
2026-07-10,ACN,7,135.23,0.05103266335959265,0.1860419608143275,0.19623722582473427,0.10390578602091413,0.24778760558692742,0.9914,0.8805
2026-07-10,TTD,8,19.53,0.046147975025288834,0.2336887476500124,0.2626303238794208,0.06445255409926179,0.34504178874194624,0.9118,0.713
2026-07-10,BXP,9,66.82,0.04193277654262303,0.1926027112248036,0.21860240807801246,0.11460362066517704,0.21860240807801246,0.6401652377751913,0.48
2026-07-10,CMCSA,10,23.57,0.03052108314462446,0.19076405052328482,0.18610481526702644,0.15063977846875787,0.2402067930903286,0.7638,0.4617074115
2026-07-10,CPT,11,112.96,0.024875813883106127,0.19586229447276637,0.2305449857174442,0.09181422073873291,0.2305449857174442,0.549865229110512,0.48
