ticker,event_date,source,event_type,detail,revaluation_status
CHTR,2026-07-10,price_shock,drawdown_from_high,-46%,requires_reunderwriting
HON,2026-07-10,price_shock,weekly_drop,-51%,requires_reunderwriting
HON,2026-07-10,price_shock,drawdown_from_high,-52%,requires_reunderwriting
ORCL,2026-07-10,price_shock,drawdown_from_high,-42%,requires_reunderwriting
SMCI,2026-07-10,price_shock,drawdown_from_high,-44%,requires_reunderwriting
