scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,192.76026522246988,-0.17146832120075928,,192.76026522246988,-0.6095678328928523,0.054532922019239635,0.025,valid,True,BRK-B,insurance,493.71,
base,0.5,731.3372234642696,0.08175559709590652,,731.3372234642696,0.4813093181508774,0.13704863806039103,0.025,valid,True,BRK-B,insurance,493.71,
bull,0.25,1135.737489993906,0.18130272991384366,,1135.737489993906,1.3004141905043567,0.19900705839248375,0.025,valid,True,BRK-B,insurance,493.71,
bear,0.25,145.38342275996663,-0.15449981255713763,,145.38342275996663,-0.567915645495983,0.10310767488802763,0.025,valid,True,JPM,bank,336.47,
base,0.5,246.44017393305876,-0.06037831362177226,,246.44017393305876,-0.26757162917033095,0.1574007140531622,0.025,valid,True,JPM,bank,336.47,
bull,0.25,303.5509468395149,-0.020381340744591303,,303.5509468395149,-0.097836517848501,0.18808364611032238,0.025,valid,True,JPM,bank,336.47,
bear,0.25,20.50068023451456,-0.19238858870120734,,20.50068023451456,-0.6564323741492448,0.0654848946672089,0.025,valid,True,BAC,bank,59.67,
base,0.5,38.28681377564667,-0.08492089738143827,,38.28681377564667,-0.35835740278788886,0.10060908248500378,0.025,valid,True,BAC,bank,59.67,
bull,0.25,48.43100587540626,-0.04087880066666694,,48.43100587540626,-0.1883525075346698,0.12064190793004807,0.025,valid,True,BAC,bank,59.67,
bear,0.25,37.53395549633714,-0.15506865325349195,,37.53395549633714,-0.5693671925615289,0.06930626712072673,0.025,valid,True,WFC,bank,87.16,
base,0.5,72.09647522909067,-0.037237064942764575,,72.09647522909067,-0.17282612174058432,0.1101049575703439,0.025,valid,True,WFC,bank,87.16,
bull,0.25,92.6677195308406,0.012330334755349837,,92.6677195308406,0.0631909078802273,0.13438790438440948,0.025,valid,True,WFC,bank,87.16,
bear,0.25,17.398186619466088,-0.34175671831909193,,17.398186619466088,-0.8764245570035791,0.03649441774981295,0.025,valid,True,C,bank,140.79,
base,0.5,63.88936540605179,-0.1461701119039689,,63.88936540605179,-0.546208072973565,0.06720963206165122,0.025,valid,True,C,bank,140.79,
bull,0.25,95.12106241610351,-0.07542748976068381,,95.12106241610351,-0.324376287974263,0.0878434015642418,0.025,valid,True,C,bank,140.79,
bear,0.25,51.774836518244896,-0.25889492596963726,,51.774836518244896,-0.7764375123353993,,0.025,valid,True,WELL,reit,231.59,0.039999999999999994
base,0.5,97.20882767342542,-0.15938491240427988,,97.20882767342542,-0.5802546410750662,,0.025,valid,True,WELL,reit,231.59,0.06
bull,0.25,97.20882767342542,-0.15938491240427988,,97.20882767342542,-0.5802546410750662,,0.025,valid,True,WELL,reit,231.59,0.06
bear,0.25,58.049337749186286,-0.24117364637195082,,58.049337749186286,-0.748399194915108,0.07634698720976336,0.025,valid,True,PGR,insurance,230.72,
base,0.5,189.3458865430427,-0.03875492798276792,,189.3458865430427,-0.17932608121080662,0.19248409528036692,0.025,valid,True,PGR,insurance,230.72,
bull,0.25,288.0010627887002,0.045350110476481076,,288.0010627887002,0.2482709032103858,0.2797485890589154,0.025,valid,True,PGR,insurance,230.72,
bear,0.25,70.46492090224854,-0.12937548701011692,,70.46492090224854,-0.49978759918897897,,0.025,valid,True,PLD,reit,140.87,0.039999999999999994
base,0.5,99.12800623269665,-0.06787196247780258,,99.12800623269665,-0.29631570786756123,,0.025,valid,True,PLD,reit,140.87,0.06
bull,0.25,99.12800623269665,-0.06787196247780258,,99.12800623269665,-0.29631570786756123,,0.025,valid,True,PLD,reit,140.87,0.06
bear,0.25,21.537917315879465,-0.3234221887893042,,21.537917315879465,-0.8582285590055327,0.050176013625909094,0.025,valid,True,BNY,bank,151.92,
base,0.5,53.339627350313,-0.18887646065293717,,53.339627350313,-0.6488966077520207,0.08734953757494074,0.025,valid,True,BNY,bank,151.92,
bull,0.25,73.93229246311559,-0.13414764158281267,,73.93229246311559,-0.5133472060089811,0.11142063088773126,0.025,valid,True,BNY,bank,151.92,
bear,0.25,108.74554124232174,-0.15465651437896488,,108.74554124232174,-0.5683159015429251,0.07128627375882023,0.025,valid,True,PNC,bank,251.91,
base,0.5,197.6979542575702,-0.047310555305790314,,197.6979542575702,-0.2152040242246429,0.1091478328930633,0.025,valid,True,PNC,bank,251.91,
bull,0.25,248.1853779806502,-0.002974751048616553,,248.1853779806502,-0.014785526653764425,0.13063721709334689,0.025,valid,True,PNC,bank,251.91,
bear,0.25,28.59741223275419,-0.14451084054271124,,28.59741223275419,-0.5417815697363533,0.07247144988489887,0.025,valid,True,USB,bank,62.41,
base,0.5,54.06182604082469,-0.028310956816683053,,54.06182604082469,-0.13376340264661601,0.11474215025804672,0.025,valid,True,USB,bank,62.41,
bull,0.25,69.15791769097284,0.020745667283404545,,69.15791769097284,0.10812237928173118,0.13980152809248755,0.025,valid,True,USB,bank,62.41,
bear,0.25,104.39095383059384,-0.10154271766227418,,104.39095383059384,-0.4145535649677873,0.1969166916809465,0.025,valid,True,MRSH,insurance,178.31,
base,0.5,160.86666174833078,-0.02037903733029922,,160.86666174833078,-0.09782591134355456,0.2899239543726236,0.025,valid,True,MRSH,insurance,178.31,
bull,0.25,166.9850206092289,-0.013038156556028357,,166.9850206092289,-0.06351286742623008,0.3,0.025,valid,True,MRSH,insurance,178.31,
bear,0.25,73.89464276535463,-0.1520773652052394,,73.89464276535463,-0.5616902380606523,,0.025,valid,True,AMT,reit,168.59,-0.01891551106622445
base,0.5,92.16323752897583,-0.113772581429751,,92.16323752897583,-0.45332915636173066,,0.025,valid,True,AMT,reit,168.59,0.0010844889337755514
bull,0.25,120.87617521825902,-0.0643750816742018,,120.87617521825902,-0.28301693328039024,,0.025,valid,True,AMT,reit,168.59,0.021084488933775552
bear,0.25,166.5925939740767,-0.132415671555963,,166.5925939740767,-0.5084604214148569,0.07756251085655722,0.025,valid,True,TRV,insurance,338.92,
base,0.5,338.55152089762674,-0.00021753773956922906,,338.55152089762674,-0.001087215574097966,0.1318181818181818,0.025,valid,True,TRV,insurance,338.92,
bull,0.25,447.8424003358713,0.057317942627889584,,447.8424003358713,0.32138085783037673,0.1663011255070791,0.025,valid,True,TRV,insurance,338.92,
bear,0.25,106.84056610400306,-0.13353767696724506,,106.84056610400306,-0.5116306344379803,,0.025,valid,True,SPG,reit,218.77,0.02271490465317973
base,0.5,140.39659467348608,-0.08488903017127492,,140.39659467348608,-0.3582456704599073,,0.025,valid,True,SPG,reit,218.77,0.04271490465317973
bull,0.25,190.21186363045638,-0.027588767598804464,,190.21186363045638,-0.13053954550232494,,0.025,valid,True,SPG,reit,218.77,0.06
bear,0.25,53.25859025191987,-0.2678114448338019,,53.25859025191987,-0.7895665958673994,0.05234949313530288,0.025,valid,True,AJG,insurance,253.09,
base,0.5,126.52663191324002,-0.12947471036424985,,126.52663191324002,-0.5000725753161326,0.08997429305912596,0.025,valid,True,AJG,insurance,253.09,
bull,0.25,173.51317733145387,-0.07271871351812997,,173.51317733145387,-0.31442104653896297,0.11410294902408015,0.025,valid,True,AJG,insurance,253.09,
bear,0.25,0.0,-0.95,,0.0,-1.0,0.0,0.025,valid,True,ALL,insurance,251.61,
base,0.5,99.15915482403662,-0.1699180243107974,,99.15915482403662,-0.605901375843422,0.0641010365781008,0.025,valid,True,ALL,insurance,251.61,
bull,0.25,314.1307572924206,0.04538559816239873,,314.1307572924206,0.24848279993808098,0.14886993669917836,0.025,valid,True,ALL,insurance,251.61,
bear,0.25,114.11853941259933,-0.08752889718952106,,114.11853941259933,-0.3674489251560372,,0.025,valid,True,DLR,reit,180.41,0.039999999999999994
base,0.5,177.1304478640258,-0.0036623937671629303,,177.1304478640258,-0.018178327897423685,,0.025,valid,True,DLR,reit,180.41,0.06
bull,0.25,177.1304478640258,-0.0036623937671629303,,177.1304478640258,-0.018178327897423685,,0.025,valid,True,DLR,reit,180.41,0.06
bear,0.25,7.954438242583628,-0.3121809332291846,,7.954438242583628,-0.8460530628491654,0.03509051274573242,0.025,valid,True,TFC,bank,51.67,
base,0.5,44.46804835575013,-0.029575122261940034,,44.46804835575013,-0.13938361997774096,0.08140944024298578,0.025,valid,True,TFC,bank,51.67,
bull,0.25,71.35529386643384,0.0666883391916715,,71.35529386643384,0.38098110831108656,0.11551695170379128,0.025,valid,True,TFC,bank,51.67,
bear,0.25,108.56361015222286,-0.022922552681504782,,108.56361015222286,-0.10947740011301066,0.12439611917762271,0.025,valid,True,AFL,insurance,121.91,
base,0.5,200.4901308365548,0.10461448422277653,,200.4901308365548,0.6445749391891955,0.20856004291516592,0.025,valid,True,AFL,insurance,121.91,
bull,0.25,258.2472623439644,0.16198167480492875,,258.2472623439644,1.1183435513408613,0.2614399602154342,0.025,valid,True,AFL,insurance,121.91,
bear,0.25,64.30217601843715,0.0031148767320667847,,64.30217601843715,0.015671710921452364,,0.025,valid,True,O,reit,63.31,0.039999999999999994
base,0.5,124.98434029608404,0.14571515488818565,,124.98434029608404,0.9741642757239621,,0.025,valid,True,O,reit,63.31,0.06
bull,0.25,124.98434029608404,0.14571515488818565,,124.98434029608404,0.9741642757239621,,0.025,valid,True,O,reit,63.31,0.06
bear,0.25,25.955069475889744,-0.22300549883365384,,25.955069475889744,-0.7168022970443018,0.061161377753433804,0.025,valid,True,MET,insurance,91.65,
base,0.5,67.45997589810668,-0.059448148941892986,,67.45997589810668,-0.2639391609590107,0.11898725262342419,0.025,valid,True,MET,insurance,91.65,
bull,0.25,96.1542984856426,0.009641624397393578,,96.1542984856426,0.04914673743199782,0.15896503959990094,0.025,valid,True,MET,insurance,91.65,
bear,0.25,130.45395533844675,-0.16457092755501102,,130.45395533844675,-0.5930435633315237,,0.025,valid,True,PSA,reit,320.56,-0.02
base,0.5,130.45395533844675,-0.16457092755501102,,130.45395533844675,-0.5930435633315237,,0.025,valid,True,PSA,reit,320.56,-0.02
bull,0.25,161.68200648498043,-0.12793175595605988,,161.68200648498043,-0.49562638356320055,,0.025,valid,True,PSA,reit,320.56,0.0
bear,0.25,27.408889458594075,-0.13643165714224548,,27.408889458594075,-0.5197320928930423,0.0813122536616662,0.025,valid,True,FITB,bank,57.07,
base,0.5,47.467137076252136,-0.03617756056532895,,47.467137076252136,-0.1682646385797768,0.12252242854162321,0.025,valid,True,FITB,bank,57.07,
bull,0.25,58.580074885482404,0.005236871765901041,,58.580074885482404,0.026460047055938407,0.14535423914033674,0.025,valid,True,FITB,bank,57.07,
bear,0.25,51.42396467098547,-0.10720866122443695,,51.42396467098547,-0.4327822118797102,,0.025,valid,True,VTR,reit,90.66,0.039999999999999994
base,0.5,100.49810456254518,0.02081826302922063,,100.49810456254518,0.1085164853578775,,0.025,valid,True,VTR,reit,90.66,0.06
bull,0.25,100.49810456254518,0.02081826302922063,,100.49810456254518,0.1085164853578775,,0.025,valid,True,VTR,reit,90.66,0.06
bear,0.25,0.0,-0.95,,0.0,-1.0,0.009231909733433102,0.025,valid,True,AIG,insurance,79.17,
base,0.5,83.76067957412002,0.011337030654200442,,83.76067957412002,0.05798508998509555,0.08032898943793963,0.025,valid,True,AIG,insurance,79.17,
bull,0.25,173.15103624435744,0.16942638956584766,,173.15103624435744,1.1870788966067631,0.13937672072675522,0.025,valid,True,AIG,insurance,79.17,
bear,0.25,0.28718062437445385,-0.6985519710344311,,0.28718062437445385,-0.9975107859549757,0.025193930736620372,0.025,valid,True,PRU,insurance,115.37,
base,0.5,107.86465989086474,-0.013363319880076219,,107.86465989086474,-0.06505452118518906,0.09784012629161883,0.025,valid,True,PRU,insurance,115.37,
bull,0.25,193.70928568067384,0.10920421030764871,,193.70928568067384,0.6790264859207231,0.15581030290287445,0.025,valid,True,PRU,insurance,115.37,
bear,0.25,109.3027228338788,-0.046631453668531164,,109.3027228338788,-0.21240291948494883,0.10023971190215111,0.025,valid,True,HIG,insurance,138.78,
