ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,rejection_reason
UBER,"Uber Technologies, Inc.",NYSE,common_stock,False,2019-05-10,Technology,Software - Application,US,2035599013.000276,1.113,147499504482.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,72.46,2026-07-17,147499504482.0,1486261062.4334376,True,no_normalized_earnings
PANW,"Palo Alto Networks, Inc.",NASDAQ,common_stock,False,2012-07-20,Technology,Software - Infrastructure,US,681511323.9991078,0.908,244444481692.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,358.68,2026-07-17,244444481692.0,2129204180.8221874,True,no_normalized_earnings
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,common_stock,False,2019-06-12,Technology,Software - Infrastructure,US,1018259279.9980303,1.237,206788094582.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,203.08,2026-07-17,206788094582.0,1978661263.2925,True,no_normalized_earnings
MRVL,"Marvell Technology, Inc.",NASDAQ,common_stock,False,2000-06-27,Technology,Semiconductors,US,875766000.0,2.197,165239528880.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,188.68,2026-07-17,165239528880.0,9449322746.589375,True,no_normalized_earnings
DDOG,"Datadog, Inc.",NASDAQ,common_stock,False,2019-09-19,Technology,Software - Application,US,355960202.9997294,1.543,92083344914.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,258.69,2026-07-17,92083344914.0,1210907593.6565626,True,no_normalized_earnings
DASH,"DoorDash, Inc.",NASDAQ,common_stock,False,2020-12-09,Communication Services,Internet Content & Information,US,435718735.0005431,1.779,80233247863.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,184.14,2026-07-17,80233247863.0,835161749.5721875,True,no_normalized_earnings
WDAY,"Workday, Inc.",NASDAQ,common_stock,False,2012-10-12,Technology,Software - Application,US,261942106.99682277,1.104,37923978251.0,2026-07-17,fmp:company-screener,2026-07-18T01:44:23.956560+00:00,144.78,2026-07-17,37923978251.0,664839194.7815624,True,no_normalized_earnings
