ticker,event_date,source,event_type,detail,revaluation_status
APP,2026-08-21,price_shock,drawdown_from_high,-50%,requires_reunderwriting
GLW,2026-08-21,price_shock,drawdown_from_high,-41%,requires_reunderwriting
ON,2026-08-21,price_shock,drawdown_from_high,-45%,requires_reunderwriting
ORCL,2026-08-21,price_shock,drawdown_from_high,-41%,requires_reunderwriting
TTD,2026-08-21,price_shock,drawdown_from_high,-43%,requires_reunderwriting
