ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.506,1181668354570.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,1255.4,2026-08-21,1182261651400.0,3383877966.3921213,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144459999.9999995,0.162,684291790600.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,165.11,2026-08-21,684291790600.0,2334332340.127576,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2409898416.0005918,0.231,651250947940.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,270.24,2026-08-21,651250947939.9999,2010689580.0454545,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.9992077,0.28,468217765493.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,264.96,2026-08-21,468129425851.9501,1474144071.5936363,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.488,408755984000.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,205.24,2026-08-21,408755984000.0,1527303857.338182,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302548933.995609,0.342,391962207887.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,91.1,2026-08-21,391962207887.0,1429914095.6445456,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.605,381361372300.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,827.9,2026-08-21,381361372300.0,2790136169.4196973,True
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.207,376771041000.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,152.55,2026-08-21,376771041000.0,1432452864.7133334,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144403.998872,0.632,354276213444.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,390.11,2026-08-21,354276213444.0,2370839755.624243,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2377208936.998894,0.377,343934589005.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,144.68,2026-08-21,343934589005.00006,1375531238.1672726,True
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997117000.0,0.959,334642436370.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,335.61,2026-08-21,334642436370.0,1481673304.377879,True
DELL,Dell Technologies Inc.,NYSE,common_stock,False,2016-08-17,Technology,Computer Hardware,US,664250942.9996833,1.401,293585631787.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,441.98,2026-08-21,293585631787.0,3522093575.548485,True
PM,Philip Morris International Inc.,NYSE,common_stock,False,2008-03-17,Consumer Defensive,Tobacco,US,1558610000.0,0.4,293377160300.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,188.23,2026-08-21,293377160300.0,902842756.059091,True
RTX,RTX Corporation,NYSE,common_stock,False,1952-09-15,Industrials,Aerospace & Defense,US,1347758101.0004287,0.294,282907902981.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,209.91,2026-08-21,282907902981.0,1021707533.0793939,True
ANET,"Arista Networks, Inc.",NYSE,common_stock,False,2014-06-06,Technology,Computer Hardware,US,1259169438.0015903,1.615,237542314479.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,188.65,2026-08-21,237542314479.0,1399257562.519697,True
TMO,Thermo Fisher Scientific Inc.,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Diagnostics & Research,US,371621000.0,0.847,233849946670.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,629.27,2026-08-21,233849946670.0,1167037455.3196971,True
IBM,International Business Machines Corporation,NYSE,common_stock,False,1915-09-24,Technology,Information Technology Services,US,942134000.0,0.705,222042141120.0,2026-08-21,fmp:company-screener,2026-08-22T00:43:42.804386+00:00,235.68,2026-08-21,222042141120.0,3017860031.903636,True
