scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,193.90198446366904,-0.17271580686895394,,193.90198446366904,-0.6124982824123802,0.054532922019239635,0.025,valid,True,BRK-B,insurance,500.39,
base,0.5,735.6689345608003,0.08012684271222126,,735.6689345608003,0.47019112004796315,0.13704863806039103,0.025,valid,True,BRK-B,insurance,500.39,
bull,0.25,1142.4644642683015,0.17952409155507554,,1142.4644642683015,1.2831480730396323,0.19900705839248375,0.025,valid,True,BRK-B,insurance,500.39,
bear,0.25,145.1751370540068,-0.1500736635076121,,145.1751370540068,-0.5564869182353991,0.10310767488802763,0.025,valid,True,JPM,bank,327.33,
base,0.5,246.08710778129222,-0.05545944347148313,,246.08710778129222,-0.24819873588949304,0.1574007140531622,0.025,valid,True,JPM,bank,327.33,
bull,0.25,303.1160600961918,-0.015253088543164206,,303.1160600961918,-0.07397409312867198,0.18808364611032238,0.025,valid,True,JPM,bank,327.33,
bear,0.25,20.436293675989074,-0.18541588264604758,,20.436293675989074,-0.6413426873290791,0.0654848946672089,0.025,valid,True,BAC,bank,56.98,
base,0.5,38.16656624494426,-0.07702034333959107,,38.16656624494426,-0.3301760925773207,0.10060908248500378,0.025,valid,True,BAC,bank,56.98,
bull,0.25,48.278898444893045,-0.032597998661320515,,48.278898444893045,-0.15270448499661204,0.12064190793004807,0.025,valid,True,BAC,bank,56.98,
bear,0.25,37.61887394768632,-0.14563569263191256,,37.61887394768632,-0.5447861332564579,0.06930626712072673,0.025,valid,True,WFC,bank,82.64,
base,0.5,72.25958942644154,-0.026488611959831543,,72.25958942644154,-0.12561000210017503,0.1101049575703439,0.025,valid,True,WFC,bank,82.64,
bull,0.25,92.87737500489226,0.02363216681608238,,92.87737500489226,0.12387917479298483,0.13438790438440948,0.025,valid,True,WFC,bank,82.64,
bear,0.25,17.34061485699267,-0.3414145802804709,,17.34061485699267,-0.8761030661832476,0.03649441774981295,0.025,valid,True,C,bank,139.96,
base,0.5,63.6779512253567,-0.14572631294489224,,63.6779512253567,-0.5450274991043391,0.06720963206165122,0.025,valid,True,C,bank,139.96,
bull,0.25,94.80630046237717,-0.07494692059420716,,94.80630046237717,-0.32261860201216663,0.0878434015642418,0.025,valid,True,C,bank,139.96,
bear,0.25,51.71573282358934,-0.25607210264334745,,51.71573282358934,-0.7721472757475025,,0.025,valid,True,WELL,reit,226.97,0.039999999999999994
base,0.5,97.00460744722065,-0.15634520158140275,,97.00460744722065,-0.5726104443440955,,0.025,valid,True,WELL,reit,226.97,0.06
bull,0.25,97.00460744722065,-0.15634520158140275,,97.00460744722065,-0.5726104443440955,,0.025,valid,True,WELL,reit,226.97,0.06
bear,0.25,59.08593306613604,-0.23011402206274822,,59.08593306613604,-0.7295219360671272,0.07634698720976336,0.025,valid,True,PGR,insurance,218.45,
base,0.5,192.72706308845412,-0.02474512282147545,,192.72706308845412,-0.1177520572741857,0.19248409528036692,0.025,valid,True,PGR,insurance,218.45,
bull,0.25,293.14393890992693,0.06058571667041157,,293.14393890992693,0.341926934813124,0.2797485890589154,0.025,valid,True,PGR,insurance,218.45,
bear,0.25,71.54899660843697,-0.11985934254541153,,71.54899660843697,-0.4718461902381563,,0.025,valid,True,PLD,reit,135.47,0.039999999999999994
base,0.5,101.24530345320083,-0.05657723617569954,,101.24530345320083,-0.25263672065253684,,0.025,valid,True,PLD,reit,135.47,0.06
bull,0.25,101.24530345320083,-0.05657723617569954,,101.24530345320083,-0.25263672065253684,,0.025,valid,True,PLD,reit,135.47,0.06
bear,0.25,108.33174542328702,-0.15143232734889978,,108.33174542328702,-0.5600205287008082,0.07128627375882023,0.025,valid,True,PNC,bank,246.22,
base,0.5,196.94567893695537,-0.043676944822583774,,196.94567893695537,-0.20012314622307137,0.1091478328930633,0.025,valid,True,PNC,bank,246.22,
bull,0.25,247.2409891755488,0.0008279586557764507,,247.2409891755488,0.004146654112374248,0.13063721709334689,0.025,valid,True,PNC,bank,246.22,
bear,0.25,21.670594424601514,-0.31587651466515043,,21.670594424601514,-0.8501445652126305,0.050176013625909094,0.025,valid,True,BNY,bank,144.61,
base,0.5,53.66820821694738,-0.17983023743821058,,53.66820821694738,-0.628876231125459,0.08734953757494074,0.025,valid,True,BNY,bank,144.61,
