ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags
MRNA,"Moderna, Inc.",NASDAQ,common_stock,False,2018-12-07,Healthcare,Biotechnology,US,396786000.0,1.03,20037693000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,49.91,2026-06-12,19803589260.0,340945160.0603226,True,biotech_preprofit,preprofit_biotech_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HST,"Host Hotels & Resorts, Inc.",NASDAQ,common_stock,False,1980-03-17,Real Estate,REIT - Hotel & Motel,US,684879280.996384,1.127,17046645304.09,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,24.89,2026-06-12,17046645303.999998,181712260.3635484,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG,Regency Centers Corporation,NASDAQ,common_stock,False,1993-10-29,Real Estate,REIT - Retail,US,183096789.9975087,0.832,14876614187.5,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,80.28,2026-06-12,14699010300.999998,123109629.09064516,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERIE,Erie Indemnity Company,NASDAQ,common_stock,False,1995-10-02,Financial Services,Insurance - Brokers,US,46189068.00194115,0.307,10456050268.5,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,226.67,2026-06-12,10469676044.0,57734800.99967742,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMCI,"Super Micro Computer, Inc.",NASDAQ,common_stock,False,2007-03-29,Technology,Computer Hardware,US,601418000.0,1.869,18319192280.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,30.46,2026-06-12,18319192280.0,1518084451.0887096,True,,material_event_requires_reunderwriting,weekly_drop:-34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144950000.0,0.149,615649423500.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,147.01,2026-06-12,609349099500.0,3175139758.2590322,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-05-04,326008000000.0,0.02137513326454399,0.29228653601807575,0.2549231920689063,0.09011128561262301,29377000000.0,0.0,0.09579267470512298,31229178295.267735,22523632421.739574,26641311379.15494,6.368948453061186,0.09454531088381184,0.27876320635843754,0.07216371982550887,0.08643896132487533,39226000000.0,47661000000.0,True,42.39105339105339,0.6950158578288064,0.0,17230000000.0,20337000000.0,-0.0017470058605750793,1.6336698337292161,4183000000.0,0.2263741902626255,0.24399825403799158,True,0.044800000000000006,0.06786529493986976,0.04312996025976544,0.004298424885639113,39.0,1.0,0.4048,7.0,0.29228653601807575,0.3375,cyclical_revenue
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.472,373544496000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,187.22,2026-06-12,372867352000.0,2191735096.627742,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-05-07,185887000000.0,0.02151287461971707,0.3378424505974167,0.2543050347791938,0.08401340599396408,15617000000.0,0.0,0.09720176629979874,18068544732.17069,12952142787.436766,17846097331.851788,8.986402805706122,0.08021670221770562,0.2831662439102951,0.05001694562082441,0.006594393908605934,40105000000.0,45428000000.0,True,11.568148148148149,1.071352246620719,0.0,13293000000.0,10510000000.0,0.0077772420189685665,1.7831379876564182,1985900000.0,0.24520868133233442,0.2877886002900017,True,0.044800000000000006,0.06687496670325005,0.04286665861416436,-0.016858021082425637,36.0,1.0,0.3337,5.0,0.3378424505974167,0.3137,cyclical_revenue;incremental_roic_below_wacc
COP,ConocoPhillips,NYSE,common_stock,False,1981-12-31,Energy,Oil & Gas Exploration & Production,US,1218294007.0011969,0.106,140542396647.52,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,116.98,2026-06-12,142516032939.0,1087599791.6903226,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-04-30,58310000000.0,0.0708056175442664,0.6111172904610209,0.29183673469387755,0.18281598353627165,10660000000.0,0.0,0.24257084433533482,14144305933.193373,9360055081.197824,9490794450.47682,7.747840297215272,0.1211406341540886,0.3382457134759813,0.08655052689216661,-0.02620071248387966,16964000000.0,23327000000.0,True,9.416961130742049,0.7600358422939069,0.0,4029000000.0,4524000000.0,-0.014071951486317569,2.1831199826426557,1224960000.0,0.16135884545884815,0.3304269392726866,True,0.044800000000000006,0.06554834467599882,0.03957290633413632,0.021002182216167786,43.0,1.0,0.6352,8.0,0.6111172904610209,0.3462,cyclical_revenue;incremental_roic_below_wacc
MPC,Marathon Petroleum Corporation,NYSE,common_stock,False,2011-06-24,Energy,Oil & Gas Refining & Marketing,US,291937000.0,0.522,76140088970.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,263.58,2026-06-12,76948754460.0,606317380.8983871,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-05-05,135750000000.0,0.06377033340935179,0.358821335624292,0.0879926335174954,0.05022467771639042,6818000000.0,0.0,0.04180573261894174,5675128203.021341,4532313409.404134,5266324376.536614,17.851947039107166,0.0807112885285722,0.20137250696976194,0.11128683468525512,0.2046404537909565,32175000000.0,34326000000.0,True,4.757850662944871,4.177486367177356,0.0,1150000000.0,3181000000.0,-0.1700394723583183,2.039288361749444,295000000.0,0.19987445234285373,0.3254334451932334,True,0.044800000000000006,0.065,0.04775792408320824,0.046286834685255115,38.0,1.0,0.5271,9.0,0.358821335624292,0.3314,elevated_leverage;thin_interest_coverage;cyclical_revenue
PSX,Phillips 66,NYSE,common_stock,False,2012-04-12,Energy,Oil & Gas Refining & Marketing,US,400935020.0,0.674,72857911834.4,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,179.45,2026-06-12,71947789339.0,491616973.45419353,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-04-29,135770000000.0,0.024917086063704685,0.37506775341609794,0.07044266038152758,0.04668188848788392,6338000000.0,0.0,0.028322227427678655,3845308817.855931,3108091880.780153,3527048196.192562,8.746055888176402,0.026710615930276117,0.19171852561033986,0.10143930903096246,0.09227967285465476,21974000000.0,27124000000.0,True,5.740942028985507,2.3486532706284735,0.0,1962000000.0,1229000000.0,-0.05226021174203899,1.126958891664774,403273000.0,0.1942512077845011,0.3606499219569482,True,0.044800000000000006,0.07024145164712922,0.048335232168501684,0.03119785738383324,44.0,1.0,0.4066,6.0,0.37506775341609794,0.3028,cyclical_revenue;peak_cycle_margins
CCL,Carnival Corporation & plc,NYSE,common_stock,False,1987-07-24,Consumer Cyclical,Leisure,US,1385139603.0157642,2.331,40418373615.54,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,29.18,2026-06-12,40418373616.0,758164804.071613,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-03-27,26976000000.0,0.05031559217653592,1.9578577402819028,0.37548190984578883,0.16852016607354686,4546000000.0,0.0,0.11671246308243946,3148435404.111887,2833591863.7006984,589666651.2295651,0.4236111000212393,1.3002989475891424,0.1,0.10706547338671692,14.15054347826087,25183000000.0,26607000000.0,True,3.65728077232502,3.4132556248305774,0.0024779185484193277,208000000.0,0.0,0.05662060608119557,2.6721173338174333,1392000000.0,0.04538890548273189,0.01832554794705232,True,0.044800000000000006,0.12759572027063,0.07632000000000001,-0.02053024688391307,77.0,1.0,0.0,0.0,1.9578577402819028,0.3445,elevated_leverage;thin_interest_coverage;ongoing_dilution;cyclical_revenue
MOS,The Mosaic Company,NYSE,common_stock,False,1988-01-26,Basic Materials,Agricultural Inputs,US,317846643.98413396,0.808,6299720484.08,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,22.69,2026-06-12,7211940352.0,224940585.95258063,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-05-11,12059200000.0,0.033229377034890595,0.28633654438079925,0.1389395648135863,0.03705884304099775,446900000.0,0.0,0.09196034797187076,1108968228.262384,828362709.6385053,544086946.7982513,1.713659674955122,0.10375908132929813,0.25303296476180637,0.0262343956971157,-0.37217194465372566,920500000.0,1202300000.0,True,2.0240036231884058,0.5076100143377081,0.0027599097553318097,280300000.0,0.0,-0.03743238971931773,2.066443471542622,317500000.0,0.061865442205646604,0.15723270440843068,True,0.044800000000000006,0.08207685341227956,0.06334280458819883,-0.055842457715163864,32.0,1.0,0.1125,2.0,0.28633654438079925,0.3197,thin_interest_coverage;cyclical_revenue;incremental_roic_below_wacc
TSLA,"Tesla, Inc.",NASDAQ,common_stock,False,2010-06-29,Consumer Cyclical,Auto - Manufacturers,US,3755720000.0,1.798,1499095638000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,406.43,2026-06-12,1526437279600.0,24152757295.72871,True,general_dcf,insufficient_model_confidence,,8.0,2025.0,ttm,2026-04-23,97879000000.0,0.23646656210970574,0.2476122366918237,0.1906537663850264,0.05003116092318066,4897000000.0,0.0,0.06783126614962924,6639256499.45956,5595106026.775957,2525465374.9666557,0.7138115813924973,0.05731395919486214,0.15726918710982143,0.08491640848523589,-0.0727933544103712,-35514000000.0,9229000000.0,True,14.44542772861357,-3.1742938863067574,0.02046268809499437,0.0,0.0,0.006007009057191759,2.0929873772791026,3538000000.0,0.08341891687364544,0.21783654802051533,True,0.044800000000000006,0.13419334822119863,0.050395302610832686,-0.04927693973596274,50.0,1.0,0.2153,3.0,0.2476122366918237,0.3169,cyclical_revenue;incremental_roic_below_wacc
