ticker,event_date,source,event_type,detail,revaluation_status
APP,2026-09-04,price_shock,drawdown_from_high,-43%,requires_reunderwriting
ON,2026-09-04,price_shock,drawdown_from_high,-41%,requires_reunderwriting
