ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,cashflow_period_semantics,ttm_cashflow_status,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,margin_mad_z,ocf_margin_mad_z,one_off_suspected,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,sec_status,sec_max_divergence,sec_confidence_penalty,model_family,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.506,1081307016200.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,1148.2,2026-09-04,1081307016200.0,3283345870.0421214,True,8,2025,ttm,2026-08-05,discrete,ok,79665800000.0,0.17173452760489116,0.14539401856922307,0.8401195996274436,0.4392022674723658,34989400000.0,0.0,0.2985125860686211,23781243979.22555,20366216391.073048,10759145565.436586,12.038878332143433,0.06099756072839578,0.14360172206028196,0.37532549953209626,0.46811342852770665,45958000000.0,54908000000.0,True,35.71804818293181,1.2391575734534797,0.014333066179425301,5.195088662321448,8.188890980897096,False,5784700000.0,6172800000.0,-0.020220564960768295,0.8146504314793369,893700000.0,unchecked,,0.0,general_dcf,0.38198698030795697,0.08145462785442636,True,0.0478,0.07216644159814542,0.05378181185461429,0.3031590579339508,30,1.0
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2409898416.0011625,0.231,663276341036.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,275.23,2026-09-04,663276341036.0,2018460019.9584846,True,8,2025,ttm,2026-07-23,discrete,ok,97929000000.0,0.020747946632048597,0.035808695075814155,0.7045206220833461,0.2681126121986337,26256000000.0,0.0,0.26112666111616145,25571872796.444576,22022484272.72755,20825257832.086674,8.534591956102895,0.011060098176694946,0.13880049192996613,0.1996631695104311,0.12066491948116082,28278000000.0,49036000000.0,True,25.944664031620555,0.8315346840356397,0.013645063939219578,0.5820071829192599,-2.070320413060756,False,12621000000.0,8075000000.0,-0.028827069017122064,0.9151619161319207,2440100000.0,unchecked,,0.0,general_dcf,0.08012289982584653,0.005341774648535091,True,0.0478,0.07151153338072987,0.054083329106798125,0.1281516361297012,43,1.0
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144460000.0,0.173,660875591600.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,159.46,2026-09-04,660875591600.0,2344881823.361515,True,8,2025,ttm,2026-08-03,discrete,ok,361060000000.0,0.02137513326454399,0.29228653601807575,0.2514651304492328,0.10707638619620008,38661000000.0,0.0,0.09579267470512298,34586903129.0317,24945347114.774147,29505754112.039223,7.0689396530999575,0.09454531088381184,0.27876320635843754,0.09576774171924868,0.08643896132487533,31780000000.0,42368000000.0,True,59.57010785824345,0.4652252199499349,0.0,0.2618233602825751,0.1259642852523185,False,17241000000.0,20512000000.0,-0.0024634556240163974,1.6336698337292161,4174000000.0,unchecked,,0.0,general_dcf,0.2247921336654588,0.20523271422670133,True,0.0478,0.07114283856089783,0.04529367064069012,0.02462490315835085,32,1.0
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2880470000.0,1.718,457505050100.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,158.83,2026-09-04,457505050100.00006,4603973645.326364,True,8,2026,ttm,2026-06-22,discrete,ok,67358000000.0,0.07920446139060222,0.06522225636440808,0.6581103952017577,0.30847115413165477,20778000000.0,0.0,0.30822780689561535,20761608616.87486,18376455775.028744,8300255307.073364,2.8474289218090445,0.04015635811252359,0.11488285353320274,0.11025559533873559,0.07323815469563844,124295000000.0,156189000000.0,True,4.518921270117442,4.133384323767085,0.0750363475009913,0.00407764370565558,4.461898929235623,False,5787000000.0,206000000.0,0.01764302698759357,1.7839877710900927,2915000000.0,unchecked,,0.0,general_dcf,0.17815800612913102,0.0046117226966892085,True,0.0478,0.11381933144036323,0.05558535679811487,-0.0035637361016276348,74,1.0
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.999454,0.28,452899671735.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,256.34,2026-09-04,452899671735.0,1450191558.6090908,True,8,2025,ttm,2026-08-03,discrete,ok,64386000000.0,0.09331472871090596,0.1391449717815021,0.714767185412978,0.29321591650358775,18879000000.0,0.0,0.28007514501636444,18032918287.02364,16229626458.321276,24100442883.849567,13.608381075013872,0.07152304148331765,0.1,0.2913525841078226,,64253000000.0,70822000000.0,True,6.474279835390947,2.402160909226858,0.015614780902550687,0.18930378346591262,-3.695499322090377,False,11978000000.0,1497000000.0,-0.0013140619604852244,4.503076194983436,1771000000.0,unchecked,,0.0,general_dcf,0.10898493910619544,0.012877442275767701,True,0.0478,0.07059848300686056,0.056519999999999994,0.22075410110096205,32,1.0
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.488,415308348000.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,208.53,2026-09-04,415308348000.0,1573602000.9148486,True,8,2025,ttm,2026-08-06,discrete,ok,208711000000.0,0.02151287461971707,0.3378424505974167,0.30995491373238593,0.15828106807978495,33035000000.0,0.0,0.09720176629979874,20287077846.197292,14542462212.573845,20037317403.735165,10.145030271443822,0.08021670221770562,0.2831662439102951,0.10841426715755562,0.006594393908605934,28544000000.0,37075000000.0,True,23.13375350140056,0.5044000706838664,0.0,0.6563827701327849,2.6154659353852465,False,13863000000.0,11139000000.0,0.005944834684229017,1.7831379876564182,1975087000.0,unchecked,,0.0,general_dcf,0.24483547161005936,0.13511033428035582,True,0.0478,0.0705230620845956,0.04501715988243346,0.03789120507296001,29,1.0
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302548933.995686,0.342,378925484617.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,88.07,2026-09-04,378925484617.0,1448300652.8912122,True,8,2025,ttm,2026-07-29,discrete,ok,50129000000.0,0.04899466931403018,0.08312406219604142,0.6188832811346725,0.2963155059945341,14854000000.0,0.0,0.2667444120505345,13371630631.681244,10916496598.543922,10549676492.270134,2.4460181989960894,0.021122148656035154,0.1836076766374627,0.19150834735521824,0.26614620905089226,27172000000.0,43543000000.0,True,9.485312899106003,1.710221550855992,0.0058196533238772654,2.1165996493140975,1.26580961872702,False,11058000000.0,937000000.0,-0.0028433258819251517,0.640109114852789,4313000000.0,unchecked,,0.0,general_dcf,0.0301726695503004,0.034925732628219255,True,0.0478,0.07058088709727513,0.051269437907167335,0.12092746025794311,37,1.0
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460636999.99999994,1.605,374930879780.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,813.94,2026-09-04,374930879780.0,2621955090.2954545,True,8,2025,ttm,2026-08-05,discrete,ok,74729000000.0,0.030628169211895928,0.13874902481947812,0.33870384991101177,0.17519303081802245,13092000000.0,0.0,0.15281852143765806,11419975288.51475,8912605001.470512,6906756651.540883,14.93352789522353,0.029106358546240153,0.21956004489483788,0.1766881077027873,0.35038510576386805,38433000000.0,45146000000.0,True,11.97804208600183,2.48419623812294,0.0034408801246740423,0.8007311285307896,1.0679510341351706,False,2812000000.0,7302000000.0,-0.04463482300758159,1.2467343976777938,462500000.0,unchecked,,0.0,general_dcf,0.19832046275733606,0.019325502091584287,True,0.0478,0.11955568274340356,0.04901162918060418,0.057132424959383754,30,1.0
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.211,371312738800.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,150.33,2026-09-04,371288040600.00006,1452758442.2966666,True,8,2025,ttm,2026-08-07,discrete,ok,66400000000.0,0.0631423349445206,0.0924821499856578,0.7537650602409639,0.16650602409638554,11056000000.0,0.0,0.24108456958368574,16008015420.356733,13135856864.49569,12579386557.15313,5.088748607262593,0.09715267805240932,0.17942002680786018,0.10228339064705289,0.3538441559451518,46765000000.0,53906000000.0,True,8.753760886777513,2.7964480057405967,0.01072943524910588,-0.7117848292591296,0.4800854711209035,False,8298000000.0,393000000.0,-0.009264693518373779,1.2541917392066366,2472000000.0,unchecked,,0.0,general_dcf,0.03512119997918761,0.015910780670564898,True,0.0478,0.07010370152650591,0.051532422316466375,0.03217968912054697,28,1.0
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144404.0011079,0.632,360660468605.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,397.14,2026-09-04,360660468605.0,2158070891.4790907,True,8,2025,ttm,2026-08-10,discrete,ok,450129000000.0,0.10236402697783231,0.03015057603745994,0.22485554141146205,0.0481550844313519,21676000000.0,0.0,0.08231835080659637,37053876930.22242,29186659494.20647,29499664491.251514,32.56033608305907,0.014040979061147749,0.2123183344844322,0.11664574601678894,-0.07804786860320123,41860000000.0,73328000000.0,True,5.566512583461736,1.6124186279419128,0.0025432324534448558,-3.416326637524447,-1.6945990753617155,True,8096000000.0,1646000000.0,-0.015683275784179607,1.633792302587923,906000000.0,unchecked,,0.0,general_dcf,-0.004762714246431932,0.020188907291737196,True,0.0478,0.07434233015534508,0.049466408594377655,0.04230341586144386,25,0.85
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2377208937.0006146,0.377,348094704645.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,146.43,2026-09-04,348094704645.0,1335354050.740606,True,8,2026,ttm,2026-08-04,discrete,ok,87032000000.0,0.03657085188392206,0.021436793151716538,0.5017579740784999,0.22690504641970768,19748000000.0,0.0,0.22175520007394978,19299798572.836,15451173298.829866,15011030937.88783,6.196503999128104,0.04895530070662452,0.1994127171577313,0.19913089818715438,0.20048355018762667,25084000000.0,35026000000.0,True,22.517673888255416,1.0949886502531867,0.006020773968195606,0.5149846345757908,0.20052764581264668,False,10232000000.0,5028000000.0,-0.008308571708339096,1.2664838589056462,2422500000.0,unchecked,,0.0,general_dcf,0.034853004627455775,0.017227518094211535,True,0.0478,0.07074087152212706,0.05027688136249447,0.1283900266650273,31,1.0
