ticker,name,sector,industry,market_cap,price_as_of,is_price_fresh,shares_outstanding,beta,price,model_family,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,specialist_model_note
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1091432624678.0,2026-09-04,True,2156853595.0002966,0.61,506.03,insurance,0.02888512222812792,0.06677217335105667,-0.1829443341401037,0.16494047635050202,0.25,0.12,0.25,0.1829443341401037,0.3029443341401037,0.1829443341401037,0.3029443341401037,184.26145427926522,699.0925241182839,1085.6627601348869,184.26145427926522,1085.6627601348869,False,,0.3815238703600259,0.6,0.8,0.19194240524530284,0.2635723426046662,-0.05322782664894332,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,960979466400.0,2026-09-04,True,2679510000.0,0.977,358.64,bank,-0.09068512399910886,-0.07739910233450786,-0.16981563620794515,-0.03812665511947455,0.0,0.12,0.75,0.16981563620794515,0.28981563620794515,0.16981563620794515,0.28981563620794515,141.4267210937847,239.73314896209618,295.2896161160388,141.4267210937847,295.2896161160388,False,,-0.3315493281226406,0.6,0.8,0.08384449054423529,0.5899339399080994,-0.19739910233450786,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,444814261200.0,2026-09-04,True,7096590000.0,1.168,62.68,bank,-0.11367937828847638,-0.09805048786046955,-0.20397622857430975,-0.05464030885865667,0.0,0.12,0.75,0.20397622857430975,0.32397622857430974,0.20397622857430975,0.32397622857430974,20.033608086314416,37.41451567854142,47.327590101151316,20.033608086314416,47.327590101151316,False,,-0.4030868589894476,0.6,0.8,0.09266795985782653,0.5354501514449488,-0.21805048786046954,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,272039039999.99997,2026-09-04,True,3024000000.0,0.92,89.96,bank,-0.06677401214187595,-0.04993301486564283,-0.16621075862123347,-0.001019260214984663,0.0,0.12,0.25,0.16621075862123347,0.28621075862123346,0.16621075862123347,0.28621075862123346,36.25190905133145,69.63387760135285,89.50247038988894,36.25190905133145,89.50247038988894,False,,-0.22594622497384553,0.6,0.8,0.10059574920312439,0.5206073580861041,-0.16993301486564283,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
C,Citigroup Inc.,Financial Services,Banks - Diversified,236177405200.0,2026-09-04,True,1714910000.0,1.102,137.72,bank,-0.1784618383592508,-0.14747841847008436,-0.34185938030945784,-0.07703113618737667,0.0,0.12,1.0,0.34185938030945784,0.46185938030945783,0.34185938030945784,0.46185938030945783,17.005542574399033,62.01888067075891,92.24275514517437,17.005542574399033,92.24275514517437,False,,-0.549674116535297,0.6,0.8,0.15041412206104057,0.27419944362873555,-0.26747841847008436,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,170177491838.0,2026-09-04,True,720572011.0005505,0.763,236.17,reit,-0.200281929314454,-0.17737586799445892,-0.2690001132744392,-0.17737586799445892,0.0,0.12,1.0,0.2690001132744392,0.3890001132744392,0.2690001132744392,0.3890001132744392,49.29595424751282,88.9676168494741,88.9676168494741,49.29595424751282,88.9676168494741,False,,-0.6232899316192824,0.6,0.8,0.06381212263999012,0.5540887346787936,-0.2973758679944589,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,128148657840.0,2026-09-04,True,933076000.0,1.324,137.34,reit,-0.08309883091609518,-0.06803787596030941,-0.1282816957834525,-0.06803787596030941,0.0,0.12,0.25,0.1282816957834525,0.2482816957834525,0.1282816957834525,0.2482816957834525,69.13180077707085,96.55802088592301,96.55802088592301,69.13180077707085,96.55802088592301,False,,-0.2969417439498834,0.6,0.8,0.04812190991157154,0.7159612442631312,-0.1880378759603094,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,127297530000.0,2026-09-04,True,581400000.0,0.257,218.95,insurance,-0.0673557895935846,-0.03774633422734941,-0.24037744200742794,0.046446952087788373,0.0,0.12,0.25,0.24037744200742794,0.36037744200742794,0.24037744200742794,0.36037744200742794,55.377610907173526,180.63122230884403,274.745783748216,55.377610907173526,274.745783748216,False,,-0.17501154460450308,0.6,0.8,0.16141219704760815,0.30657828806854137,-0.1577463342273494,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
BNY,Bank of New York Mellon Corp,Financial Services,Investment - Banking & Investment Services,113142714360.0,2026-09-04,True,686379000.0,1.049,164.84,bank,-0.22529551610737533,-0.2057565513118803,-0.337502281693844,-0.1521666801118967,0.0,0.12,1.0,0.337502281693844,0.457502281693844,0.337502281693844,0.457502281693844,21.037035517835754,52.09917090030572,72.2129368244385,21.037035517835754,72.2129368244385,False,,-0.6839409676030956,0.6,0.8,0.11066780079097363,0.40378829747773026,-0.3257565513118803,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
USB,U.S. Bancorp,Financial Services,Banks - Diversified,98713459603.0,2026-09-04,True,1557731727.9943192,0.977,63.37,bank,-0.053654667239754344,-0.03701928773434082,-0.1521777816791644,0.01159768818882867,0.0,0.12,0.25,0.1521777816791644,0.2721777816791644,0.1521777816791644,0.2721777816791644,27.75924662649063,52.47732032294984,67.13095848439859,27.75924662649063,67.13095848439859,False,,-0.17189016375335575,0.6,0.8,0.09988773493399652,0.5289760691982344,-0.15701928773434082,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
