ticker,event_date,source,event_type,detail,revaluation_status
APP,2026-08-07,price_shock,drawdown_from_high,-43%,requires_reunderwriting
ORCL,2026-08-07,price_shock,drawdown_from_high,-41%,requires_reunderwriting
SNDK,2026-08-07,price_shock,drawdown_from_high,-48%,requires_reunderwriting
TTD,2026-08-07,price_shock,drawdown_from_high,-41%,requires_reunderwriting
WDC,2026-08-07,price_shock,drawdown_from_high,-42%,requires_reunderwriting
