ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,watchlist_reason
PH,1073.87,-0.833814051999161,-0.95,-0.95,-0.4852562079966446,0.0,0.12,1.0,0.95,1.0699999999999998,0.95,1.0699999999999998,-32.65160600187561,-7.543472640572818,-0.398712515220172,-32.65160600187561,-0.398712515220172,False,,-1.0070245678160046,0.42047100000000004,0.85,0.25425776600167765,0.6995,-1.0699999999999998,0.35740035000000003,invalid,irr_below_solver_bound,irr_5y[base],forward_roic_floor_hit;reinvestment_cap_hit,,False,ok,True,bear;base,Parker-Hannifin Corporation,Industrials,Industrial - Machinery,general_dcf,135400390555.0,0.6995,0.04470519536187117,-0.10895199079784011,0.09885461127982913,-0.05414941591795796,0.17319267955341092,0.23857515204170288,-0.12210660121269734,4.6460023174971035,0.00801007556675063,-0.005219128285064434,elevated_leverage;cyclical_revenue;incremental_roic_below_wacc,8,2026,annual,2026-08-06,2026-08-07,True,irr_below_solver_bound
GM,87.58,-0.7347097212870721,-0.95,-0.95,-0.08883888514828867,0.0,0.12,1.0,0.95,1.0699999999999998,0.95,1.0699999999999998,-70.38282539859483,-36.359419193196146,17.478467735768383,-70.38282539859483,17.478467735768383,False,,-1.4151566475587594,0.4156758000000001,1.0,0.4481102834258557,0.2487,-1.0699999999999998,0.4156758000000001,invalid,irr_below_solver_bound,irr_5y[base],forward_roic_floor_hit;share_change_floor_hit;reinvestment_cap_hit,,False,ok,True,bear;base,General Motors Company,Consumer Cyclical,Auto - Manufacturers,general_dcf,79211865961.0,0.2487,0.009503743709599695,-0.24899975272828603,0.08900083483387278,-0.07949709112427308,0.054134788670623685,0.009777552593423059,0.03335752810947534,6.218478260869565,0.0,-0.14167131736471228,elevated_leverage;thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-07-21,2026-08-07,True,irr_below_solver_bound
LHX,286.67,-0.5724666519286984,-0.95,-0.95,-0.1949333038573968,0.0,0.12,0.5,0.95,1.0699999999999998,0.95,1.0699999999999998,,52.95755418920298,,,,True,"growth destroys value: forward ROIC 2.4% at/below WACC 8.2%, so higher-growth scenarios reinvest below the cost of capital and are worth less than the bear case",-0.8152664939156418,,0.7,,0.3876,-1.0699999999999998,,invalid,invalid_valuation_output,irr_5y[bear];irr_5y[bull];scenario[bear];scenario[bull],reinvestment_cap_hit,,False,ok,False,,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,general_dcf,53382254050.0,0.3876,0.06010425149148075,0.009203348926480491,0.08176284750048746,-0.021658596009006707,0.09833066544706151,0.09833066544706151,0.18155465427374273,3.0168938944872554,0.01647870642154591,-0.00886386569168962,elevated_leverage;thin_interest_coverage;incremental_roic_below_wacc,8,2025,annual,2026-02-12,2026-08-07,True,invalid_valuation_output
