ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,cashflow_period_semantics,ttm_cashflow_status,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,margin_mad_z,ocf_margin_mad_z,one_off_suspected,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,sec_status,sec_max_divergence,sec_confidence_penalty,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
V,Visa Inc.,NYSE,common_stock,False,2008-03-19,Financial Services,Financial - Credit Services,US,1916826360.9994552,0.765,641120912963.67,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,330.38,2026-06-17,633281093147.0,2354657223.5105715,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Mastercard Incorporated,NYSE,common_stock,False,2006-05-25,Financial Services,Financial - Credit Services,US,883583869.9993914,0.738,433521589976.8,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,492.99,2026-06-17,435598012071.0,1802980662.2674286,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Morgan Stanley,NYSE,common_stock,False,1993-02-23,Financial Services,Financial - Capital Markets,US,1577284817.0013328,1.221,348311806138.11005,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,224.96,2026-06-17,354825992432.6198,1109354054.1657143,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,"The Goldman Sachs Group, Inc.",NYSE,common_stock,False,1999-05-04,Financial Services,Financial - Capital Markets,US,295007421.00005454,1.291,321755743862.07,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,1099.14,2026-06-17,324254456718.0,1977260997.0031428,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,American Express Company,NYSE,common_stock,False,1972-06-01,Financial Services,Financial - Credit Services,US,682326443.0010277,1.058,232495912187.82,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,340.54,2026-06-17,232359446899.56998,1000340543.5231428,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,The Charles Schwab Corporation,NYSE,common_stock,False,1987-09-22,Financial Services,Financial - Capital Markets,US,1739140000.0,0.773,164366121400.0,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,94.51,2026-06-17,164366121400.0,1000078417.1905714,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",NYSE,common_stock,False,1999-10-01,Financial Services,Asset Management,US,155233989.00017023,1.434,163341860245.47,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,1057.38,2026-06-17,164141315289.00003,680292548.2808572,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,Blackstone Inc.,NYSE,common_stock,False,2007-06-22,Financial Services,Asset Management,US,1201264407.99936,1.585,153605679850.96,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,125.01,2026-06-17,150170063644.0,686521434.9525714,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,Capital One Financial Corporation,NYSE,common_stock,False,1994-11-16,Financial Services,Financial - Credit Services,US,622292782.9989545,1.037,124999951321.21,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,200.87,2026-06-17,124999951321.0,854679745.0437143,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPGI,S&P Global Inc.,NYSE,common_stock,False,2016-04-28,Financial Services,Financial - Data & Stock Exchanges,US,296000000.0,1.076,128242000000.0,2026-06-17,fmp:company-screener,2026-06-18T10:14:52.789344+00:00,418.02,2026-06-17,123733920000.0,812813640.7140001,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
