as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-06-17,UHS,1,141.26,0.17006035799322183,0.32189214263489707,0.34141545972088355,0.16312042442150415,0.441617226676317,0.7852,0.7680600000000001
2026-06-17,FOXA,2,51.32,0.136893882933502,0.3184191300417296,0.34209710722789166,0.143406313774176,0.44607599193695924,0.9014,0.6163695000000001
2026-06-17,KLAC,3,238.73,0.13521452068054637,0.3035116380648106,0.3174482275091578,0.17779159736237488,0.4013584998785518,0.9672,0.68481
2026-06-17,VICI,4,27.23,0.10174067276241026,0.2857853741459746,0.33195973492168807,0.1472622918188342,0.33195973492168807,0.4740870752279265,0.48
2026-06-17,TTD,5,18.16,0.08654211473633544,0.26016349380370235,0.2902887866366656,0.08512620986439288,0.37495019207708535,0.9118,0.713
2026-06-17,OMC,6,76.31,0.08352236673109457,0.2578506282850867,0.264658510684967,0.17316323362756528,0.32892225814284753,0.803,0.5773761000000001
2026-06-17,ARE,7,49.21,0.0724380220903181,0.24726137059563125,0.27091254602149606,0.1763078443180368,0.27091254602149606,0.6792452830188679,0.48
2026-06-17,CTSH,8,48.82,0.06738156184162303,0.19939783249865292,0.20818617779295898,0.11035975415725266,0.27085922025144105,0.8701,0.8734
2026-06-17,BXP,9,63.06,0.05273568875545967,0.20385805074721258,0.22986601824054098,0.12583414826722739,0.22986601824054098,0.6428106701366297,0.48
2026-06-17,CPT,10,109.35,0.034893162104800014,0.202808447989219,0.23759548803653807,0.09844732784726173,0.23759548803653807,0.5508109897384973,0.48
2026-06-17,CMCSA,11,22.69,0.03469228382780554,0.20030655171722173,0.19513910966925324,0.16189250899478796,0.24905547853559257,0.7638,0.4617074115
2026-06-17,ADBE,12,196.28,0.017926425781928233,0.1793618163617794,0.19062957431597172,0.08217850277433175,0.2540096140408423,0.9778,0.7893
2026-06-17,AVB,13,179.63,0.017615375306905233,0.19276145004088718,0.2285041368478744,0.08553338961992552,0.2285041368478744,0.5386824360256111,0.48
