ticker,name,sector,industry,market_cap,price_as_of,is_price_fresh,shares_outstanding,beta,price,model_family,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,specialist_model_note
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1059619136338.1798,2026-06-17,True,2156853803.000692,0.617,491.28,insurance,0.04518833940487424,0.08367573045817922,-0.16999766431445973,0.18339956101759824,0.25,0.12,0.25,0.16999766431445973,0.2899976643144597,0.16999766431445973,0.2899976643144597,193.51991158787854,734.2193406010745,1140.2133027623543,193.51991158787854,1140.2133027623543,False,,0.4945028102122506,0.6,0.8,0.19469861266602898,0.2635723426046663,-0.036324269541820775,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,893509877445.9999,2026-06-17,True,2679511417.9991603,1.0,333.46,bank,-0.07277507860547658,-0.0592273728340893,-0.15346416101159643,-0.019181407742131285,0.0,0.12,0.25,0.15346416101159643,0.27346416101159643,0.15346416101159643,0.27346416101159643,144.96744730142595,245.7350518331072,302.6824176640083,144.96744730142595,302.6824176640083,False,,-0.2630748760477801,0.6,0.8,0.08514137663473256,0.5899339399080994,-0.1792273728340893,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,401170269501.0,2026-06-17,True,7096590650.999469,1.196,56.53,bank,-0.09180230352340873,-0.07578764478987798,-0.18432795329372065,-0.031305971220158324,0.0,0.12,0.75,0.18432795329372065,0.30432795329372064,0.18432795329372065,0.30432795329372064,20.41065215318357,38.11867845793681,48.21832266265354,20.41065215318357,48.21832266265354,False,,-0.3256911647278117,0.6,0.8,0.09451099103678115,0.5354501514449488,-0.19578764478987798,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,256474523900.0,2026-06-17,True,3060190000.0,0.93,83.81,bank,-0.046717507137077646,-0.029514570147901265,-0.14829130683759695,0.020450418585088892,0.0,0.12,0.25,0.14829130683759695,0.26829130683759694,0.14829130683759695,0.26829130683759694,37.56221901704222,72.1507647435704,92.73749944012587,37.56221901704222,92.73749944012587,False,,-0.13911508479214407,0.6,0.8,0.10237086271134291,0.5206073580861041,-0.14951457014790126,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
C,Citigroup Inc.,Financial Services,Banks - Diversified,245227854590.1499,2026-06-17,True,1705576955.001738,1.115,143.78,bank,-0.18159070371535738,-0.1505394239844151,-0.34512515313569725,-0.08015881375690204,0.0,0.12,1.0,0.34512515313569725,0.46512515313569724,0.34512515313569725,0.46512515313569724,17.31769269591271,63.59377680205816,94.68097818813743,17.31769269591271,94.68097818813743,False,,-0.5577008151199182,0.6,0.8,0.1504831696893976,0.2723174116520194,-0.2705394239844151,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,145806536700.0,2026-06-17,True,705914000.0,0.78,206.55,reit,-0.16632029106700685,-0.1410077533474905,-0.24225790422555593,-0.1410077533474905,0.0,0.12,1.0,0.24225790422555593,0.3622579042255559,0.24225790422555593,0.3622579042255559,51.59792933196386,96.59873042861308,96.59873042861308,51.59792933196386,96.59873042861308,False,,-0.5323227769130328,0.6,0.8,0.0686250754390327,0.5341470752568014,-0.2610077533474905,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,131403717720.00002,2026-06-17,True,932338000.0000001,1.334,140.94,reit,-0.080045732761229,-0.06437971449248248,-0.1270437875674686,-0.06437971449248248,0.0,0.12,0.25,0.1270437875674686,0.2470437875674686,0.1270437875674686,0.2470437875674686,71.44906784222407,101.04909162480318,101.04909162480318,71.44906784222407,101.04909162480318,False,,-0.28303468408682286,0.6,0.8,0.04933203653749305,0.7070728365131232,-0.18437971449248247,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,119450169540.0,2026-06-17,True,584337000.0,0.27,204.42,insurance,-0.042548855042909645,-0.012151832656844608,-0.22017262341843302,0.07428086856048366,0.0,0.12,0.25,0.22017262341843302,0.340172623418433,0.22017262341843302,0.340172623418433,58.95433856042081,192.29782686776716,292.4910570860741,58.95433856042081,292.4910570860741,False,,-0.05930032840344801,0.6,0.8,0.16522674598945833,0.3065782880685413,-0.1321518326568446,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,93616848450.0,2026-06-17,True,401565000.0,0.918,233.13,bank,-0.04944654118592989,-0.03346507001699894,-0.14237109350091748,0.011515068791195793,0.0,0.12,0.25,0.14237109350091748,0.2623710935009175,0.14237109350091748,0.2623710935009175,108.1671075123094,196.64636939449804,246.86524299139148,108.1671075123094,246.86524299139148,False,,-0.15649479091280383,0.6,0.8,0.09494308114605662,0.5500590112361149,-0.15346507001699894,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
USB,U.S. Bancorp,Financial Services,Banks - Diversified,89893693000.0,2026-06-17,True,1552300000.0,0.999,57.91,bank,-0.031531209480399974,-0.014506931648912036,-0.1323575761102792,0.03524660148650338,0.0,0.12,0.25,0.1323575761102792,0.2523575761102792,0.1323575761102792,0.2523575761102792,28.4745887013322,53.82963494830863,68.86089012751842,28.4745887013322,68.86089012751842,False,,-0.07046045677242907,0.6,0.8,0.10180208879839128,0.5289760691982344,-0.13450693164891203,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
