ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,rejection_reason
UBER,"Uber Technologies, Inc.",NYSE,common_stock,False,2019-05-10,Technology,Software - Application,US,2035599013.0055084,1.12,151509634538.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,74.43,2026-07-02,151509634538.0,1473962197.85375,True,no_normalized_earnings
PANW,"Palo Alto Networks, Inc.",NASDAQ,common_stock,False,2012-07-20,Technology,Software - Infrastructure,US,681511323.9987359,0.942,237206831431.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,348.06,2026-07-02,237206831431.00003,1898161931.7771876,True,no_normalized_earnings
MRVL,"Marvell Technology, Inc.",NASDAQ,common_stock,False,2000-06-27,Technology,Semiconductors,US,874800000.0,2.277,214579692000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,245.29,2026-07-02,214579692000.0,9030055774.1675,True,no_normalized_earnings
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,common_stock,False,2019-06-12,Technology,Software - Infrastructure,US,1018259279.997938,1.237,197521935134.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,193.98,2026-07-02,197521935134.0,4119375802.656875,True,no_normalized_earnings
DDOG,"Datadog, Inc.",NASDAQ,common_stock,False,2019-09-19,Technology,Software - Application,US,355960211.9987709,1.553,92677800796.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,260.36,2026-07-02,92677800796.0,1140802983.5540626,True,no_normalized_earnings
DASH,"DoorDash, Inc.",NASDAQ,common_stock,False,2020-12-09,Communication Services,Internet Content & Information,US,435718716.99911463,1.811,83662350851.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,192.01,2026-07-02,83662350851.0,833956397.87875,True,no_normalized_earnings
WDAY,"Workday, Inc.",NASDAQ,common_stock,False,2012-10-12,Technology,Software - Application,US,261942107.0014771,1.081,35466961288.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,135.4,2026-07-02,35466961288.0,678403063.1115625,True,no_normalized_earnings
