as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-06-18,UHS,1,141.17,0.17141916687364392,0.3235620187333552,0.3431584545644001,0.16438023271621205,0.44355093308840876,0.7857,0.76815
2026-06-18,FOXA,2,52.23,0.1334743074347288,0.31301176273555026,0.3365491761593148,0.13876562622608613,0.4401830723974854,0.9014,0.6163695000000001
2026-06-18,VICI,3,26.28,0.10838368044110326,0.2986592922066967,0.3457993342522985,0.1572391660698913,0.3457993342522985,0.4701257861635219,0.48
2026-06-18,CTSH,4,43.7,0.10688140335760665,0.23295337092713453,0.24235993515467275,0.14092575493268672,0.30616785846650596,0.8709,0.8735
2026-06-18,OMC,5,71.35,0.08445422847168339,0.27560555243107954,0.28250558886211363,0.18980735858203845,0.34760367341805254,0.8037,0.5197004550000001
2026-06-18,TTD,6,18.51,0.07899488695213566,0.2554567127022892,0.28546207183971994,0.08102042973041534,0.3698822773993015,0.9118,0.713
2026-06-18,ARE,7,51.03,0.06883388765995968,0.23977189977418628,0.263403932624916,0.16887580122199708,0.263403932624916,0.677845498818932,0.48
2026-06-18,BXP,8,64.7,0.05064389109220686,0.1994386322393467,0.22550810644209762,0.12123020963109399,0.22550810644209762,0.6410516333671233,0.48
2026-06-18,CPT,9,108.99,0.03886487765084403,0.2061573278626086,0.24133509277761522,0.10062403311758872,0.24133509277761522,0.5479611812237077,0.48
2026-06-18,CMCSA,10,22.43,0.035884528962887095,0.20320251081138851,0.1977213622070849,0.1654932727571577,0.25187404607422653,0.7638,0.4617074115
2026-06-18,AVB,11,177.32,0.024903563979408995,0.19851587413436084,0.23474600498334697,0.08982548158740244,0.23474600498334697,0.5356691581179193,0.48
2026-06-18,ADBE,12,195.16,0.02005274062949547,0.18189377908711324,0.193278417858528,0.08258340863976629,0.2584348719916307,0.9778,0.78426
2026-06-18,UDR,13,37.56,0.000661568666023217,0.18951053434132686,0.23007165424574771,0.06782717462806431,0.23007165424574771,0.49300666478926114,0.48
