ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
VZ,Verizon Communications Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,4175560000.0,0.22,177711833600.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,42.56,2026-07-02,177711833600.0,1220248034.7734375,True
DIS,The Walt Disney Company,NYSE,common_stock,False,1957-11-12,Communication Services,Entertainment,US,1736511408.0132718,1.394,172713426231.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,99.46,2026-07-02,172713424641.0,950894982.4925001,True
TJX,"The TJX Companies, Inc.",NYSE,common_stock,False,1987-06-26,Consumer Cyclical,Apparel - Retail,US,1104704446.0020769,0.619,170212861040.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,154.26,2026-07-02,170411707840.28036,883281243.33625,True
GLW,Corning Inc,NYSE,common_stock,False,1981-12-31,Technology,"Hardware, Equipment & Parts",US,860638000.0,1.155,169283191410.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,196.695,2026-07-02,169283191410.0,2861133144.9215627,True
DE,Deere & Company,NYSE,common_stock,False,1972-06-01,Industrials,Agricultural - Machinery,US,269937425.0004024,0.928,167704024030.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,621.27,2026-07-02,167704024030.0,781292323.8090625,True
UNP,Union Pacific Corporation,NYSE,common_stock,False,1980-01-02,Industrials,Railroads,US,593713000.0,0.974,167575494250.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,282.25,2026-07-02,167575494250.0,764782315.0425,True
ABT,Abbott Laboratories,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,1741810000.0,0.62,166151255900.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,95.39,2026-07-02,166151255900.0,1136965967.7328124,True
UBER,"Uber Technologies, Inc.",NYSE,common_stock,False,2019-05-10,Technology,Software - Application,US,2035599013.0055084,1.12,151509634538.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,74.43,2026-07-02,151509634538.0,1473962197.85375,True
T,AT&T Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,6948340000.0,0.395,142927353800.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,20.57,2026-07-02,142927353800.0,1129962037.19,True
DHR,Danaher Corporation,NYSE,common_stock,False,1978-12-29,Healthcare,Medical - Diagnostics & Research,US,707770626.9994442,0.834,140089040202.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,197.93,2026-07-02,140089040202.0,838140227.0090625,True
PFE,Pfizer Inc.,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,5699440000.0,0.295,138610380800.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,24.32,2026-07-02,138610380800.0,997217857.8903124,True
CRM,"Salesforce, Inc.",NYSE,common_stock,False,2004-06-23,Technology,Software - Application,US,818999999.9999999,1.151,136044090000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,166.11,2026-07-02,136044089999.99998,2575861776.01625,True
CVS,CVS Health Corp.,NYSE,common_stock,False,1973-02-21,Healthcare,Medical - Healthcare Plans,US,1275930000.0,0.623,133615389600.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,104.72,2026-07-02,133615389600.0,753770411.3446875,True
COP,ConocoPhillips,NYSE,common_stock,False,1981-12-31,Energy,Oil & Gas Exploration & Production,US,1218294006.9989495,0.106,127591931353.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,104.73,2026-07-02,127591931352.99998,911678663.613125,True
