ticker,scenario,probability,revenue_growth_y1,terminal_growth,operating_margin,forward_roic,terminal_roic,share_change_rate,sbc_fade_speed,reinvestment_rate_y1,intrinsic_value_per_share,irr_3y,irr_5y,exit_value_per_share,total_return_5y,irr_5y_status,scenario_is_finite
LLY,bear,0.25,0.16033491515329237,0.02,0.2428805385203756,0.3379177248520196,0.07003708843819886,0.0,0.5,0.3914205216093843,328.2386745696685,-0.34038189537823205,-0.18893597936548762,357.2027229298535,-0.626558227176571,valid,True
LLY,base,0.5,0.25,0.025,0.2985125860686211,0.45055696646935944,0.4272310979460493,-0.020372139009888907,1.0,0.4549924099640822,729.0820181659716,-0.13994322833968903,-0.04006811691651816,928.6972658388422,-0.18302604476306172,valid,True
LLY,bull,0.25,0.3217320678773661,0.030000000000000002,0.34692212159693625,0.4956126631162954,0.4505569664693595,-0.020372139009888907,1.5,0.5314344727307532,1129.663895822148,-0.008334606244898141,0.05549182682661925,1483.9011127131298,0.3059301970909605,valid,True
JNJ,bear,0.25,0.008041610350259208,0.02,0.23401057658664648,0.10731159630223655,0.0684366662903474,0.0,0.5,0.0972242389426642,107.16385998953314,-0.2203225874429336,-0.1207594903054996,112.68459519114053,-0.446860823047578,valid,True
JNJ,base,0.5,0.04869922519996406,0.025,0.26112666111616145,0.14308212840298207,0.13926774528902644,-0.03019523338785178,1.0,0.30723180211690965,167.2436993614586,-0.09406693401688242,-0.03293121385795526,211.20672383859954,-0.15236119219006938,valid,True
JNJ,bull,0.25,0.08122531707972794,0.030000000000000002,0.2823243098714786,0.15739034124328027,0.14308212840298207,-0.03019523338785178,1.5,0.45098227186678036,214.27543936744533,-0.01439079609117468,0.022974343478563263,280.0610935939434,0.1189359707080011,valid,True
ABBV,bear,0.25,0.007368059356905071,0.02,0.2168592581844765,0.12867637359013256,0.06771882124899439,0.0,0.5,0.07689404985129923,71.6556688075913,-0.3207472943613539,-0.19065720912185494,74.94746822551238,-0.622422065758323,valid,True
ABBV,base,0.5,0.09875588627854526,0.025,0.28007514501636444,0.17156849812017677,0.15562757272045027,-0.002868422376363618,1.0,0.48962781596417726,176.42230066377817,-0.07650208867853504,-0.013527075189631407,215.23750316094444,-0.06356613949263057,valid,True
ABBV,bull,0.25,0.1718661478158574,0.030000000000000002,0.33264117445900515,0.18872534793219448,0.17156849812017677,-0.002868422376363618,1.5,0.7603266854447145,294.36043418666833,0.08363501506391915,0.09575682512659117,374.77199321636357,0.5657452857186991,valid,True
CAT,bear,0.25,-0.023740583066542004,0.02,0.12002110298270319,0.21963604921949026,0.11812431915945118,0.0,0.5,0.0,37.34900021653519,-0.6286171795683912,-0.4349136433276727,35.31292713080012,-0.9092203244642822,valid,True
