ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.502,1114757656520.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,1183.46,2026-09-25,1114512803860.0,3012990025.9254546,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144460000.0,0.175,665434497600.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,160.59,2026-09-25,665558831400.0,2165514931.648182,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2409898416.0017695,0.235,653612648388.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,271.22,2026-09-25,653612648388.0,1811241119.5033333,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.9984872,0.281,467140021872.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,264.34,2026-09-25,467034014302.74005,1251537007.0660605,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.491,407162704000.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,204.45,2026-09-25,407182620000.0,1517256717.1312122,True
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2880469999.9999995,1.732,394854827600.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,137.1,2026-09-25,394912436999.99994,4626566303.112122,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.594,378450146460.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,821.58,2026-09-25,378450146460.0,2274862339.232727,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302548934.005239,0.342,377806821895.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,87.81,2026-09-25,377806821895.0,1414451291.7515152,True
DELL,Dell Technologies Inc.,NYSE,common_stock,False,2016-08-17,Technology,Computer Hardware,US,664250943.000533,1.409,373906855815.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,562.9,2026-09-25,373906855815.0,3948714787.3633337,True
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.226,367361026800.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,148.74,2026-09-25,367361026800.0,1382367163.1612122,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2377208936.9990425,0.377,347595490768.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,146.23,2026-09-25,347619262857.36993,1229385589.908182,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144403.9990441,0.622,341998101102.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,376.59,2026-09-25,341998101102.0,2017369551.8069696,True
PM,Philip Morris International Inc.,NYSE,common_stock,False,2008-03-17,Consumer Defensive,Tobacco,US,1558610000.0,0.395,296884032800.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,190.48,2026-09-25,296884032800.0,894923072.2063637,True
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997117000.0,0.955,292354704400.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,293.2,2026-09-25,292354704400.0,1309998352.3375757,True
ANET,"Arista Networks, Inc.",NYSE,common_stock,False,2014-06-06,Technology,Computer Hardware,US,1259169438.000484,1.617,260081447419.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,206.55,2026-09-25,260081447418.99997,1252513214.0178788,True
RTX,RTX Corporation,NYSE,common_stock,False,1952-09-15,Industrials,Aerospace & Defense,US,1347758100.997888,0.287,255265384329.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,189.4,2026-09-25,255265384329.0,903102301.8848485,True
TMO,Thermo Fisher Scientific Inc.,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Diagnostics & Research,US,369747286.0,0.854,249579418050.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,675.0,2026-09-25,249579418050.0,1266765220.9099998,True
IBM,International Business Machines Corporation,NYSE,common_stock,False,1915-09-24,Technology,Information Technology Services,US,942134000.0,0.708,212460638340.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,225.51,2026-09-25,212460638340.0,1765761719.0281818,True
APH,Amphenol Corporation,NYSE,common_stock,False,1991-11-08,Technology,"Hardware, Equipment & Parts",US,2465960000.0,1.242,207362576400.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,84.09,2026-09-25,207362576400.0,1299197237.4763637,True
VZ,Verizon Communications Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,4175560000.0,0.24,196585364800.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,47.08,2026-09-25,196585364800.0,1087665422.442121,True
CRM,"Salesforce, Inc.",NYSE,common_stock,False,2004-06-23,Technology,Software - Application,US,819000000.0,1.202,191662380000.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,234.02,2026-09-25,191662380000.0,2890069972.669394,True
DE,Deere & Company,NYSE,common_stock,False,1972-06-01,Industrials,Agricultural - Machinery,US,269937425.00072414,0.911,186380994466.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,690.46,2026-09-25,186380994466.0,783169268.1984848,True
DIS,The Walt Disney Company,NYSE,common_stock,False,1957-11-12,Communication Services,Entertainment,US,1736510000.0,1.409,184339219050.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,106.15,2026-09-25,184330536500.0,990323669.9851515,True
ABT,Abbott Laboratories,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,1730383372.0039487,0.586,175287835584.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,101.29,2026-09-25,175270531750.27997,969357817.9578788,True
T,AT&T Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,6852390000.0,0.417,174016444050.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,25.38,2026-09-25,173913658200.0,1208479917.9830303,True
MCD,McDonald's Corporation,NYSE,common_stock,False,1965-04-21,Consumer Cyclical,Restaurants,US,710506000.0,0.414,168034669000.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,236.5,2026-09-25,168034669000.0,1324230127.7484848,True
PFE,Pfizer Inc.,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,5699440000.0,0.299,163402944800.0,2026-09-25,fmp:company-screener,2026-09-26T02:43:41.946536+00:00,28.67,2026-09-25,163402944800.0,975922716.4790909,True
