ticker,event_date,source,event_type,detail,revaluation_status
GLW,2026-07-24,price_shock,drawdown_from_high,-43%,requires_reunderwriting
IBM,2026-07-24,price_shock,weekly_drop,-26%,requires_reunderwriting
ORCL,2026-07-24,price_shock,drawdown_from_high,-53%,requires_reunderwriting
SMCI,2026-07-24,price_shock,drawdown_from_high,-40%,requires_reunderwriting
