rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,shares_outstanding,beta,specialist_model_note,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return,ineligible_reasons,eligible
1,UHS,155.75,0.2776938464594423,0.29585966469021513,0.12606785278185276,0.39298820367548615,1.0,0.12,0.0,0.0,0.0,0.0,0.0,172.90753310288642,318.7650745782645,449.88312245979125,172.90753310288642,449.88312245979125,False,,1.046645743680671,0.7674300000000001,1.0,0.1404372754468167,0.7805,0.17585966469021513,0.7674300000000001,valid,,,share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,9750936832.0,0.7805,0.12468849972603302,0.22875878037240152,0.08229871649629965,0.04238978322973337,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8.0,2025.0,ttm,2026-05-07,2026-07-24,True,,,,0.0,0.07021863772340835,0.0,0.0,0.1349599824732118,,True
2,CMCSA,22.3,0.34352406640537086,0.33888183413073425,0.30072017870843415,0.3672471263911575,1.0,0.12,0.0,0.0,0.0,0.0,0.0,48.78227521963178,60.308196752192416,64.84777544604607,48.78227521963178,64.84777544604607,False,,1.7044034418023504,0.68283,0.85,0.047278573841361665,0.8667,0.21888183413073425,0.5804055,valid,,,share_change_floor_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Comcast Corporation,Communication Services,Telecommunications Services,general_dcf,79660698114.07489,0.8667,0.15816035847455023,-0.010702595763399403,0.07733328109398409,0.08082707738056615,0.1873066409912772,0.14662343380969536,0.039212419385326935,-0.04531447186922197,0.010207942618366071,-0.06941760974801958,thin_interest_coverage;incremental_roic_below_wacc,8.0,2025.0,ttm,2026-07-23,2026-07-24,True,,,,0.0,0.023639286920680833,0.0,0.0,0.1270402203795659,,True
3,FOXA,55.31,0.27845208697253837,0.3002555333427153,0.11389069820288575,0.3994065830018371,0.75,0.12,0.0,0.0,0.006109301797114247,0.0,0.006109301797114247,65.69497911792033,126.63456630750214,177.1548358088482,65.69497911792033,177.1548358088482,False,,1.2895419690381873,0.68364,1.0,0.1522487423994757,0.896,0.18025553334271532,0.68364,valid,,,forward_roic_cap_hit;share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,Fox Corporation,Communication Services,Entertainment,general_dcf,24253702866.0,0.896,0.16895503711597137,0.8856477997370426,0.06826219643895436,0.10069284067701702,0.2005283937430593,0.19727177334732424,0.06996718821585945,0.8351403947734223,0.006437768240343348,-0.0882628934835914,,8.0,2025.0,ttm,2026-05-11,2026-07-24,True,,,,0.0,0.07612437119973785,0.0,0.006109301797114247,0.11712059101729966,,True
4,VICI,26.73,0.26372576427990146,0.3056258321380403,0.138025560705485,0.3056258321380403,1.0,0.12,0.0,0.0,0.0,0.0,0.0,51.02218370686409,101.41276629073529,101.41276629073529,51.02218370686409,101.41276629073529,False,,2.793968061755903,0.6,0.8,0.10180013571627763,0.5031140119044883,0.1856258321380403,0.48,valid,,,specialist_model_v1,,False,specialist,False,,VICI Properties Inc.,Real Estate,REIT - Specialty,reit,28575171900.0,,,,,,,,,,,,,,,,,2026-07-24,True,1069030000.0,0.683,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.05090006785813882,0.0,0.0,0.08910039942625933,,True
5,TTD,17.29,0.2578678481397219,0.28687349171377724,0.08657492296770217,0.371149486163631,0.75,0.12,0.0,0.0,0.03342507703229783,0.0,0.03342507703229783,16.960260082214774,34.7665338397854,46.04696719847486,16.960260082214774,46.04696719847486,False,,1.0107885390274958,0.713,1.0,0.15089728159796445,0.9118,0.16687349171377724,0.713,valid,,,intrinsic_2x_price,,False,ok,False,,"The Trade Desk, Inc.",Technology,Software - Services,general_dcf,8128174063.0,0.9118,0.3288207697076124,0.48860470771143266,0.09646706732664524,0.2323537023809672,0.1711063344506371,0.20259066659481598,0.29379367691523206,-1.3554265927034115,0.20234486555512426,-0.015605915567558415,heavy_sbc,8.0,2025.0,ttm,2026-05-07,2026-07-24,True,,,,0.0,0.07544864079898222,0.0,0.03342507703229783,0.08555572255962535,,True
6,CTSH,45.45,0.2060121630318463,0.21432964662089948,0.11998658066149803,0.2754027782240882,0.75,0.12,0.0,0.0,1.3419338501963196e-05,0.0,1.3419338501963196e-05,51.57636181876494,72.20972631034809,90.40264395054217,51.57636181876494,90.40264395054217,False,,0.5887728561132692,0.8721,1.0,0.0815450987812951,0.8631,0.09432964662089949,0.8721,valid,,,,,False,ok,False,,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,general_dcf,21537346050.0,0.8631,0.1723955492618894,0.1406886596808351,0.08776307260565833,0.08463247665623108,0.14961661544644123,0.1566383257030739,0.03921825270499446,-0.10875127942681678,0.008867044993919741,-0.02773719033995936,,8.0,2025.0,ttm,2026-04-29,2026-07-24,True,,,,0.0,0.04077254939064755,0.0,1.3419338501963196e-05,0.08225146547958448,,True
7,ARE,50.94,0.23338083506648316,0.256351398884185,0.1644691436133776,0.256351398884185,1.0,0.12,0.0,0.0,0.0,0.0,0.0,109.0683807436471,159.44634888927095,159.44634888927095,109.0683807436471,159.44634888927095,False,,2.1300814465895357,0.6,0.8,0.06394112763540369,0.6840443917558168,0.13635139888418502,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,reit,8877262860.0,,,,,,,,,,,,,,,,,2026-07-24,True,174269000.0,1.183,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.031970563817701844,0.0,0.0,0.0654486714644088,,True
8,OMC,79.66,0.238553414537455,0.24535633925115696,0.15445921341888608,0.30904176622861995,1.0,0.12,0.0,0.0,0.0,0.0,0.0,118.06520820153081,176.08528295276898,228.59726588532115,118.06520820153081,228.59726588532115,False,,1.2104604940091512,0.678861,0.7,0.09592544640486694,0.7996,0.12535633925115697,0.4752027,valid,,,base_growth_cap_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,22703593572.999996,0.7996,0.10625854426677338,0.02465586598481794,0.06743299341118292,0.03882555085559046,0.14642359336986555,0.14972875016645534,0.017562263432874925,2.06084951795445,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8.0,2025.0,annual,2026-02-20,2026-07-24,True,,,,0.0,0.04796272320243347,0.0,0.0,0.05956967087426577,,True
9,HCA,382.19,0.18750404994279968,0.19978595071006575,0.08484143430541735,0.2656028640456498,0.75,0.12,0.0,0.0,0.035158565694582644,0.0,0.035158565694582644,356.69911277138897,535.5852754238228,672.2482225773733,356.69911277138897,672.2482225773733,False,,0.4013586839630101,0.81243,1.0,0.09600781487011623,0.9838,0.07978595071006575,0.81243,valid,,,share_change_floor_hit,,False,ok,False,,"HCA Healthcare, Inc.",Healthcare,Medical - Care Facilities,general_dcf,84784953162.0,0.9838,1.3366534740796945,0.20581754978431388,0.09856241584713843,1.238091058232556,0.1487826149175951,0.15673927842069435,0.07131449251891953,0.4551586791725556,0.0,-0.08375874484786883,,8.0,2025.0,ttm,2026-04-29,2026-07-24,True,,,,0.0,0.04800390743505811,0.0,0.035158565694582644,0.02966193424079608,,True
10,BXP,69.11,0.17720009808901588,0.20220611122351118,0.10218205868552999,0.20220611122351118,0.75,0.12,0.0,0.0,0.01781794131447001,0.0,0.01781794131447001,112.41068116732738,173.5543684263699,173.5543684263699,112.41068116732738,173.5543684263699,False,,1.5112772164139763,0.6,0.8,0.06801202626899058,0.6476972154983087,0.08220611122351118,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"BXP, Inc.",Real Estate,REIT - Office,reit,11021482492.0,,,,,,,,,,,,,,,,,2026-07-24,True,159477390.9998553,1.039,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03400601313449529,0.0,0.01781794131447001,0.021640992072815356,,True
11,CPT,113.73,0.18358697785877864,0.2167139888469789,0.08420594489417788,0.2167139888469789,0.75,0.12,0.0,0.0,0.03579405510582212,0.0,0.03579405510582212,170.38602078478863,303.2616862475528,303.2616862475528,170.38602078478863,303.2616862475528,False,,1.6665056383324788,0.6,0.8,0.0842540219764005,0.5618448637316563,0.0967139888469789,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Camden Property Trust,Real Estate,REIT - Residential,reit,11432139600.0,,,,,,,,,,,,,,,,,2026-07-24,True,100520000.0,0.798,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.04212701098820025,0.0,0.03579405510582212,0.010628659540727753,,True
12,ELV,377.68,0.14600426796969262,0.1360491259445553,0.11505960717040582,0.1968592128192541,0.75,0.12,0.0,0.0,0.004940392829594173,0.0,0.004940392829594173,453.6105585436031,511.4873444863639,667.3067566011704,453.6105585436031,667.3067566011704,False,,0.3542876098452761,0.6701130000000001,1.0,0.05079641282442413,0.8244,0.016049125944555293,0.6701130000000001,valid,,,forward_roic_floor_hit;reinvestment_cap_hit,,False,ok,False,,Elevance Health Inc.,Healthcare,Medical - Healthcare Plans,general_dcf,81907193447.0,0.8244,0.14191121591929173,-0.055718693137273054,0.07190628262272608,0.07000493329656565,0.05862056864328994,0.03511458732155554,0.11643811436572027,-0.7545189504373178,0.0013860640301318267,-0.0354245980130079,incremental_roic_below_wacc,8.0,2025.0,ttm,2026-07-15,2026-07-24,True,,,,0.0,0.025398206412212066,0.0,0.004940392829594173,0.005814335104489608,,True
