ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,research_queue,step7_risk_adjusted_ranking,robust_return<=0,66,False,-0.1892455921153144,0.09883964539185403,0.1202695911866613,-0.06946377226267939,0.18946377226267938,0.936,0.8093,1.0,0.8093,False,
CPT,Camden Property Trust,Real Estate,REIT - Residential,eligible,step7_risk_adjusted_ranking,eligible,11,True,0.010628659540727753,0.18358697785877864,0.2167139888469789,0.08420594489417788,0.03579405510582212,0.5618448637316563,0.6,0.8,0.48,False,
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,122,False,-0.2705129993456648,-0.0346707312208309,-0.024361646556644672,-0.1505129993456648,0.2705129993456648,0.6446,0.6581699999999999,1.0,0.6581699999999999,False,
BXP,"BXP, Inc.",Real Estate,REIT - Office,eligible,step7_risk_adjusted_ranking,eligible,10,True,0.021640992072815356,0.17720009808901588,0.20220611122351118,0.10218205868552999,0.01781794131447001,0.6476972154983087,0.6,0.8,0.48,False,
CRL,"Charles River Laboratories International, Inc.",Healthcare,Medical - Diagnostics & Research,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,323,False,-1.0699999999999998,-0.42797428323028724,-0.2988257756602252,-0.95,1.0699999999999998,0.4019,0.5426190000000001,0.7,0.37983330000000004,True,bear
AES,The AES Corporation,Utilities,Independent Power Producers,hard_filter_rejected,step2_hard_filters,persistent_negative_fcf;interest_coverage;excessive_leverage,,,,,,,,,,,,,
PNR,Pentair plc,Industrials,Industrial - Machinery,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
UHS,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,eligible,step7_risk_adjusted_ranking,eligible,1,True,0.1349599824732118,0.2776938464594423,0.29585966469021513,0.12606785278185276,0.0,0.7805,0.7674300000000001,1.0,0.7674300000000001,False,
IT,"Gartner, Inc.",Technology,Consulting Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0,25,False,-0.09273333113234133,0.15507171539575215,0.17252666102140213,-0.011655586949200339,0.13165558694920032,0.9097,0.741,1.0,0.741,False,
FDS,FactSet Research Systems Inc.,Financial Services,Financial - Data & Stock Exchanges,watchlist,step2_model_routing,financial_sector_model_not_supported,,,,,,,,,,,,,
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,hard_filter_rejected,step2_hard_filters,interest_coverage,,,,,,,,,,,,,
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,eligible,step7_risk_adjusted_ranking,eligible,7,True,0.0654486714644088,0.23338083506648316,0.256351398884185,0.1644691436133776,0.0,0.6840443917558168,0.6,0.8,0.48,False,
AOS,A. O. Smith Corporation,Industrials,Industrial - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,73,False,-0.20171890634112058,0.0005913696601055791,0.00693907208042222,-0.08171890634112058,0.20171890634112058,0.951,0.8177,1.0,0.8177,False,
BLDR,"Builders FirstSource, Inc.",Basic Materials,Construction Materials,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.2516477637924253,-0.12764603330288077,-0.95,1.0699999999999998,0.5976,0.31419900000000006,1.0,0.31419900000000006,True,bear
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Alcoholic,hard_filter_rejected,step2_hard_filters,interest_coverage;negative_ebitda_with_debt,,,,,,,,,,,,,
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3365,0.85,,,
NVDA,NVIDIA Corporation,Technology,Semiconductors,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.18383932162978456,-0.17798852928681302,-0.3292146715451964,0.4492146715451964,0.8597,0.3443796,1.0,0.3443796,False,
AAPL,Apple Inc.,Technology,Consumer Electronics,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,177,False,-0.3311469318449962,-0.13572539978886192,-0.13125096942385417,-0.21114693184499625,0.3311469318449962,0.9712,0.69309,0.95,0.6584355,False,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,119,False,-0.2659609204786829,-0.06427128994582743,-0.056867156513908376,-0.14596092047868292,0.2659609204786829,0.9247,0.741,1.0,0.741,False,
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,hard_filter_rejected,step2_hard_filters,duplicate_share_class,,,,,,,,,,,,,
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,80,False,-0.21658615429361816,-0.026557709902408508,-0.019714630884118345,-0.09658615429361815,0.21658615429361816,0.9665,0.8867,1.0,0.8867,False,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,263,False,-0.4760184869522345,-0.23441112435793904,-0.21983045621309422,-0.3560184869522345,0.4760184869522345,0.6529,0.6504,0.85,0.55284,False,
AVGO,Broadcom Inc.,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,271,False,-0.5079535717744148,-0.2726067919680644,-0.25887007266283024,-0.38795357177441475,0.5079535717744148,0.6433,0.48851100000000003,1.0,0.48851100000000003,False,
