ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.502,1085092815020.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,1152.22,2026-09-18,1085092815020.0,3019360137.636129,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144460000.0,0.175,676292982800.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,163.18,2026-09-18,676292982800.0,2292284881.9745164,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2409898416.0005927,0.235,650648473336.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,269.99,2026-09-18,650648473336.0,1939992728.0735483,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.9985595,0.281,466044610323.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,263.78,2026-09-18,466044610323.0,1414359723.822258,True
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2880470000.0,1.732,425157372000.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,147.6,2026-09-18,425157372000.0,4651483100.803549,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.491,417260116000.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,209.51,2026-09-18,417260116000.0,1808894827.0319355,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302548934.005666,0.342,379699943426.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,88.25,2026-09-18,379699943426.0,1381499134.8922582,True
DELL,Dell Technologies Inc.,NYSE,common_stock,False,2016-08-17,Technology,Computer Hardware,US,664250943.0,1.409,377958786567.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,568.06,2026-09-18,377334390680.57996,3417840699.3574195,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.594,372650726630.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,808.99,2026-09-18,372650726630.0,2591528676.1409674,True
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.226,362470783200.0,2026-09-18,fmp:company-screener,2026-09-19T02:24:40.055543+00:00,146.76,2026-09-18,362470783200.0,1388194758.363226,True
