scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,176.6391279331805,-0.19101116539820662,,176.6391279331805,-0.6534925006705368,0.054532922019239635,0.025,valid,True,BRK-B,insurance,509.77,
base,0.5,670.1732290558368,0.05623987858481705,,670.1732290558368,0.3146580400098806,0.13704863806039103,0.025,valid,True,BRK-B,insurance,509.77,
bull,0.25,1040.752250273192,0.15343896104240695,,1040.752250273192,1.0416114135260846,0.19900705839248375,0.025,valid,True,BRK-B,insurance,509.77,
bear,0.25,137.2136027944438,-0.1706310754786553,,137.2136027944438,-0.6075911493852952,0.10310767488802763,0.025,valid,True,JPM,bank,349.67,
base,0.5,232.5914708616682,-0.07830531670803875,,232.5914708616682,-0.3348257761270106,0.1574007140531622,0.025,valid,True,JPM,bank,349.67,
bull,0.25,286.4929044646471,-0.039071444413363854,,286.4929044646471,-0.18067633922084514,0.18808364611032238,0.025,valid,True,JPM,bank,349.67,
bear,0.25,19.528559142961946,-0.1948927661644393,,19.528559142961946,-0.6617259805480349,0.0654848946672089,0.025,valid,True,BAC,bank,57.73,
base,0.5,36.471292594208435,-0.08775830214540348,,36.471292594208435,-0.36824367583217676,0.10060908248500378,0.025,valid,True,BAC,bank,57.73,
bull,0.25,46.13445757759287,-0.04385276767391355,,46.13445757759287,-0.20085817464762046,0.12064190793004807,0.025,valid,True,BAC,bank,57.73,
bear,0.25,35.17815716123558,-0.16394699394816692,,35.17815716123558,-0.5915216307334465,0.06930626712072673,0.025,valid,True,WFC,bank,86.12,
base,0.5,67.57137911104478,-0.04735355236929595,,67.57137911104478,-0.21538110646719955,0.1101049575703439,0.025,valid,True,WFC,bank,86.12,
bull,0.25,86.85148043475822,0.001693004702297829,,86.85148043475822,0.008493734727800906,0.13438790438440948,0.025,valid,True,WFC,bank,86.12,
bear,0.25,16.569503021209318,-0.3394608133745365,,16.569503021209318,-0.8742543597085124,0.036622939212533706,0.025,valid,True,C,bank,131.77,
base,0.5,60.42865296125229,-0.14437143796229268,,60.42865296125229,-0.5414081129145307,0.06738863164241536,0.025,valid,True,C,bank,131.77,
bull,0.25,89.87755629529815,-0.073667413401593,,89.87755629529815,-0.3179209509349765,0.08804602932593471,0.025,valid,True,C,bank,131.77,
bear,0.25,47.09249683312294,-0.2710922471413567,,47.09249683312294,-0.7942391015287152,,0.025,valid,True,WELL,reit,228.87,0.039999999999999994
base,0.5,82.16048602291288,-0.185267903002311,,82.16048602291288,-0.6410167954606856,,0.025,valid,True,WELL,reit,228.87,0.06
bull,0.25,82.16048602291288,-0.185267903002311,,82.16048602291288,-0.6410167954606856,,0.025,valid,True,WELL,reit,228.87,0.06
