ticker,scenario,probability,revenue_growth_y1,terminal_growth,operating_margin,forward_roic,terminal_roic,share_change_rate,sbc_fade_speed,reinvestment_rate_y1,intrinsic_value_per_share,irr_3y,irr_5y,exit_value_per_share,total_return_5y,irr_5y_status,scenario_is_finite
LLY,bear,0.25,0.15664131004495074,0.02,0.2428805385203756,0.33020778737176765,0.07373732442856046,0.0,0.5,0.3916111399588897,331.79655218506707,-0.3164386686737998,-0.17032467601893586,364.10580037791493,-0.5833628013256367,valid,True
LLY,base,0.5,0.25,0.025,0.2985125860686211,0.44027704982902355,0.4178081646619752,-0.021366201978122216,1.0,0.4656159117982856,730.5099883592351,-0.11127012119686695,-0.019074701425415664,942.9853871027399,-0.09064524978789745,valid,True
LLY,bull,0.25,0.3246869519640394,0.030000000000000002,0.34692212159693625,0.4843047548119259,0.44027704982902355,-0.021366201978122216,1.5,0.5487238333524771,1131.830036587817,0.024235805065109188,0.07860245523770576,1507.6555986013514,0.4525796151550445,valid,True
JNJ,bear,0.25,0.009515933168258911,0.02,0.2339753244873958,0.1082732958674564,0.07325026824667935,0.0,0.5,0.10725402271694918,103.16699119905591,-0.230147839532583,-0.12677851497719528,108.9499404014493,-0.46309211167238795,valid,True
JNJ,base,0.5,0.0503913890982729,0.025,0.26112666111616145,0.14436439448994187,0.1406664599252922,-0.030889046428312028,1.0,0.3138801048465961,154.73146563636374,-0.1188570281170541,-0.048053056905337115,196.19638979494923,-0.21562373791502454,valid,True
JNJ,bull,0.25,0.0830917538422841,0.030000000000000002,0.2823243098714786,0.15880083393893607,0.14436439448994187,-0.030889046428312028,1.5,0.4563792347696082,195.1191972931155,-0.04590984918759202,0.004268026957288412,256.5389436296376,0.021274859760342713,valid,True
ABBV,bear,0.25,0.019854411079421957,0.02,0.22008992498224023,0.21851443808086696,0.07237998356445725,0.0,0.5,0.09099411937338048,72.94410056745474,-0.3146000638254918,-0.18264813904825133,75.71784806952215,-0.6027929305213968,valid,True
ABBV,base,0.5,0.10114913441342555,0.025,0.28007514501636444,0.2913525841078226,0.2745792829062008,-0.003521929017248699,1.0,0.29489804524590646,180.57390051194417,-0.06247625444375442,-0.0028460648551117346,219.60895793512654,-0.01353677077581772,valid,True
ABBV,bull,0.25,0.1661849130806284,0.030000000000000002,0.33264117445900515,0.3204878425186049,0.2913525841078226,-0.003521929017248699,1.5,0.4335513302862231,293.2196129647497,0.0943652509362437,0.10409438209026123,369.80384302464955,0.6130886917563083,valid,True
ORCL,bear,0.25,0.05592221020540841,0.02,0.251666243476154,0.06341540139303953,0.11527316085269436,0.015493408905701144,0.5,0.7685478147848827,5.771145758575673,-0.5291926707257517,-0.3160163689230103,19.196848677360478,-0.8489649166807214,valid,True
ORCL,base,0.5,0.12868123375986662,0.025,0.30822780689561535,0.0845538685240527,0.11527316085269436,0.015493408905701144,1.0,1.2,22.198153897520264,-0.3734970916120801,-0.18473707811499473,50.69459903117444,-0.6591595725460928,valid,True
ORCL,bull,0.25,0.18688845260343318,0.030000000000000002,0.3467996543656141,0.09300925537645797,0.11527316085269436,0.015493408905701144,1.5,1.2,38.03687482318671,-0.2791566497646273,-0.1171934082813095,78.94894170635162,-0.48405971165637585,valid,True
CVX,bear,0.25,-0.21946719617147425,0.02,0.04014531521891302,0.027855266912468125,0.07233591199339878,0.005944834684229017,0.5,0.0,13.796523813535186,-0.6075843197613722,-0.47361785520915867,7.162457600163474,-0.9140941996648274,valid,True
CVX,base,0.5,0.13317417311488822,0.025,0.09720176629979874,0.037140355883290836,0.07233591199339878,0.005944834684229017,1.0,1.2,93.6631975408775,-0.17665600791806357,-0.08752931385533883,141.43649893033975,-0.37820701220625985,valid,True
CVX,bull,0.25,0.4152872685439782,0.030000000000000002,0.14314222338663948,0.04085439147161992,0.07233591199339878,0.005944834684229017,1.5,1.2,317.2564432250264,0.1569934128725436,0.15177155063720416,455.2926408229801,1.0663317024432444,valid,True
KO,bear,0.25,-0.02533733136723401,0.02,0.23316862985079678,0.18281613790664253,0.07235186080914516,0.0,0.5,0.0,23.821865622476608,-0.32211701777996493,-0.19546394756180233,23.771229269214857,-0.6269498063979584,valid,True
KO,base,0.5,0.03958366943216529,0.025,0.2667444120505345,0.24375485054219004,0.23086534571426506,-0.003609443025478997,1.0,0.15042546010540117,44.56403526815014,-0.15503924473887304,-0.07273453085217624,52.00139917952951,-0.30038447370431287,valid,True
KO,bull,0.25,0.09152047007168473,0.030000000000000002,0.29331015110158415,0.2681303355964091,0.24375485054219004,-0.003609443025478997,1.5,0.295439812437279,62.69993101422627,-0.0561527815298177,-0.0011962848831899185,76.62606026607776,-0.005714542191449845,valid,True
CAT,bear,0.25,-0.0009778007514672366,0.02,0.11931737369148274,0.22370700475915783,0.12086514250822643,0.0,0.5,0.014383811549801218,49.4390487956409,-0.5735269394550413,-0.3815787669242126,48.642482248619814,-0.8694171867623549,valid,True
CAT,base,0.5,0.11447431598461599,0.025,0.15281852143765806,0.2982760063455438,0.24033361821627594,-0.04531401280319884,1.0,0.3237922284496742,141.31336067671944,-0.3861704111215658,-0.2152584024486714,186.1343513331515,-0.6721618729303795,valid,True
CAT,bull,0.25,0.20683600937348257,0.030000000000000002,0.17654081199703764,0.3281036069800982,0.2758157909837394,-0.04531401280319884,1.5,0.5226056765331045,241.4512069251511,-0.2737582933776138,-0.12118750023000753,340.5159476494811,-0.4562549699867151,valid,True
DELL,bear,0.25,0.00014760723910121898,0.02,0.03364605021821081,0.44999999999999996,0.114481456095404,0.0,0.5,0.009151301758402168,33.40865073405557,-0.6129775179877468,-0.42197059601385256,24.9277890467931,-0.895453096705314,valid,True
DELL,base,0.5,0.09728557444001784,0.025,0.05122543748972912,0.6,0.45317919232325016,-0.05,1.0,0.13804743258669047,98.9590884990459,-0.42282038655903303,-0.2570506134259629,121.48945775324536,-0.7654077810193487,valid,True
DELL,bull,0.25,0.17499594820075115,0.030000000000000002,0.06571285735436738,0.6,0.5502829011041693,-0.05,1.5,0.24332793093433489,173.54772603920765,-0.2928090260946192,-0.14893704986752707,239.19375536406812,-0.5469707550629646,valid,True
MRK,bear,0.25,-0.04322340649006495,0.02,0.1628548284986877,0.20878194476679157,0.0717570695605934,0.0,0.5,0.0,27.317154280357745,-0.393139021837851,-0.2494778680731542,27.65357771562783,-0.7300813760538204,valid,True
MRK,base,0.5,0.04925083292530441,0.025,0.24108456958368574,0.2783759263557221,0.21225789218128094,-0.011267067302815893,1.0,0.15949894418494445,89.36672417249585,-0.09450665890472007,-0.029986258118879023,109.93571028519783,-0.13701770022680893,valid,True
MRK,bull,0.25,0.1232302244575999,0.030000000000000002,0.30412598278491154,0.30621351899129434,0.2535816635403067,-0.011267067302815893,1.5,0.3415400466661083,162.5139431180206,0.09966182017233224,0.1021861485554837,208.70995009803892,0.6056842600768413,valid,True
PG,bear,0.25,-0.005914693113515612,0.02,0.17714661265792436,0.15005831594061375,0.07249288972035152,0.0,0.5,0.0,62.10705813597164,-0.20609860923141238,-0.11089846696122546,62.935932851931355,-0.4111594452486601,valid,True
PG,base,0.5,0.03571192825568892,0.025,0.22175520007394978,0.200077754587485,0.18665582680346257,-0.009797560966659765,1.0,0.16778248373370605,112.1669272020369,-0.021225140261230957,0.014905859300051845,133.13813732865506,0.07254568247676785,valid,True
PG,bull,0.25,0.06901322535105255,0.030000000000000002,0.259538162431699,0.22008553004623352,0.200077754587485,-0.009797560966659765,1.5,0.2781217841444801,157.94080522705048,0.09768732034135613,0.09353454349911774,195.4620606483628,0.5328245991060137,valid,True
UNH,bear,0.25,-0.005617725632893991,0.02,0.06635685360316404,0.02,0.0754644901936429,0.0,0.5,0.0,254.3211958314515,-0.02798563410469793,-0.010998470218328265,312.9467739148067,-0.04954928174940787,valid,True
UNH,base,0.5,0.048800665613053296,0.025,0.08231835080659637,0.02,0.0754644901936429,-0.019016407871775803,1.0,1.2,295.7045086703881,0.039230701030464867,0.028538996435236212,484.26045569237704,0.1575359799229148,valid,True
UNH,bull,0.25,0.09233537860981113,0.030000000000000002,0.09427794138556603,0.022000000000000002,0.0754644901936429,-0.019016407871775803,1.5,1.2,405.1985867871573,0.13563954717828897,0.09167672323819719,651.0756058035884,0.5756017521481136,valid,True
HD,bear,0.25,-0.006741797158452606,0.02,0.12655506907652891,0.021820309589644045,0.08921030887602166,0.0,0.5,0.0,101.53532760197265,-0.21758280370559074,-0.13539672691258595,130.012715182636,-0.480209337607014,valid,True
HD,base,0.5,0.04898224493067871,0.025,0.14279601693997807,0.029093746119525393,0.08921030887602166,-0.011045699748691037,1.0,1.2,99.16771428968529,-0.19023840054578606,-0.10356718704279044,196.5772245566457,-0.44041462986709523,valid,True
HD,bull,0.25,0.09356147860198376,0.030000000000000002,0.15539995025196598,0.03200312073147794,0.08921030887602166,-0.011045699748691037,1.5,1.2,135.64234654190278,-0.11751744626963044,-0.054355390882119506,261.5023123567647,-0.25613750189580364,valid,True
PM,bear,0.25,0.013074596271906144,0.02,0.3321265371633962,0.12087365813686703,0.0712067443964126,0.0023186132197321463,0.5,0.1196263705459465,77.00251025625414,-0.22154292570776307,-0.11932251367252317,81.27815153593735,-0.44132809315665156,valid,True
PM,base,0.5,0.05761558182862314,0.025,0.375011668771804,0.1611648775158227,0.15921278602713151,0.0023186132197321463,1.0,0.31701985103970565,132.9797934646738,-0.05851694052107628,-0.006844478938728542,156.63246735713597,-0.03196651131012551,valid,True
PM,bull,0.25,0.09324837027399674,0.030000000000000002,0.4110509623667825,0.17728136526740498,0.1611648775158227,0.0023186132197321463,1.5,0.45463715883293854,178.14700890850426,0.033745791576802756,0.05603213722060904,217.56081241297667,0.29849695091664175,valid,True
RTX,bear,0.25,0.004863414761025503,0.02,0.04761238038978973,0.06582169756989927,0.07177577456472528,0.0,0.5,0.11988040570422619,17.328036768191282,-0.5442824247234963,-0.36707829339284215,17.320251621422965,-0.8721433832813437,valid,True
RTX,base,0.5,0.12439658197641457,0.025,0.0815182999861138,0.08776226342653236,0.07901125942357916,-0.030100832299083807,1.0,1.1909135145383445,55.74159624327648,-0.3005693208426238,-0.1588431767886504,79.33436338697295,-0.5846381770666427,valid,True
RTX,bull,0.25,0.22002311574872582,0.030000000000000002,0.10750797747078636,0.0965384897691856,0.08220855719594058,-0.030100832299083807,1.5,1.2,110.9611457699414,-0.1408565652964171,-0.03910595155030021,159.95955938539862,-0.18490979079998238,valid,True
ANET,bear,0.25,0.1467922000825135,0.02,0.2672687626081644,0.44999999999999996,0.13045,0.000283695094403842,0.5,0.2698528001466907,32.803838895484226,-0.4260569824546109,-0.2569592486717737,35.42485240603649,-0.7440542105878774,valid,True
ANET,base,0.5,0.25,0.025,0.34139911629930414,0.6,0.5632811899999999,0.000283695094403842,1.0,0.34166666666666673,51.05026145924098,-0.3305622661893721,-0.17020427273237143,62.05654714297444,-0.5802070543513365,valid,True
ANET,bull,0.25,0.3325662399339892,0.030000000000000002,0.4064038716117635,0.6,0.6,0.000283695094403842,1.5,0.4534216532453189,68.98205274012636,-0.25716400306846476,-0.1087763861607527,89.06789314161743,-0.41758278196223353,valid,True
IBM,bear,0.25,-0.0772974415738016,0.02,0.11577493409188677,0.17069559065022,0.07892975843386488,0.008332054948728854,0.5,0.0,23.891210406176487,-0.5165811978018608,-0.3580817125723116,19.639889856383274,-0.8473900371151557,valid,True
IBM,base,0.5,0.013171755582107758,0.025,0.14690109790502892,0.22759412086696001,0.1919295403192605,0.008332054948728854,1.0,0.0682680396422392,97.75845779007008,-0.2131075875193346,-0.1136159002431668,109.64162003176799,-0.42693280578842896,valid,True
IBM,bull,0.25,0.08554711330683525,0.030000000000000002,0.1705375092414832,0.25035353295365603,0.2216624128058795,0.008332054948728854,1.5,0.29733029834752783,172.7807837738829,-0.05475430020014752,0.0011896601441549418,207.93362097495287,0.005655123369593618,valid,True
TMO,bear,0.25,-0.02502577219625425,0.02,0.1375833729033812,0.02,0.0869001824802929,0.0,0.5,0.0,57.11150627687009,-0.48166656213143133,-0.344125288433861,71.43953269763306,-0.8435706125188768,valid,True
TMO,base,0.5,0.08558375535780438,0.025,0.18034227974651323,0.02,0.0869001824802929,-0.02127490478968718,1.0,1.2,89.17686069838346,-0.3473429337405833,-0.21499389258242438,218.07603032205392,-0.7324628523229544,valid,True
TMO,bull,0.25,0.17407137740105127,0.030000000000000002,0.20898579635388567,0.022000000000000002,0.0869001824802929,-0.02127490478968718,1.5,1.2,187.6210973837386,-0.22377380318212087,-0.11758704954263519,377.61001886793093,-0.4856441435835611,valid,True
VZ,bear,0.25,-0.04196741462502158,0.02,0.19781838546535332,0.02,0.07208118974654698,0.0,0.5,0.0,16.63809474095455,-0.2078032249351963,-0.1613629884435795,21.256116103570076,-0.5440764615682129,valid,True
VZ,base,0.5,0.015203892869515956,0.025,0.22817686263697068,0.02,0.07208118974654698,-0.0026234320384361798,1.0,0.8581557147806381,19.115479800226037,-0.11272118212655183,-0.0859405169263482,47.048729757106386,-0.4070387524110889,valid,True
VZ,bull,0.25,0.06094093886514598,0.030000000000000002,0.24636780860847157,0.022000000000000002,0.07208118974654698,-0.0026234320384361798,1.5,1.2,30.526754076205442,-0.014595154346898172,-0.011035350908059599,70.07892183350206,-0.06353517545221488,valid,True
APH,bear,0.25,0.1473326007211357,0.02,0.1784516171464812,0.260663784993632,0.10661977755751222,0.011598631607941414,0.5,0.467522101621772,15.460880728604723,-0.4020089416066184,-0.2318429720646235,17.59445602799102,-0.7058111242084812,valid,True
APH,base,0.5,0.25,0.025,0.20659165612487077,0.3475517133248427,0.32391629042606757,0.011598631607941414,1.0,0.5898402802819582,29.335401601099043,-0.2603548007667995,-0.1178712008404545,36.72098991318875,-0.4485550956113732,valid,True
APH,bull,0.25,0.33213391942309145,0.030000000000000002,0.22859282404150982,0.382306884657327,0.3475517133248427,0.011598631607941414,1.5,0.7107042704240399,42.58656759971585,-0.17079852779861537,-0.04579367015976456,55.39732844794999,-0.20154468402879677,valid,True
CRM,bear,0.25,-0.00033415359865682226,0.02,-0.009971909275108822,0.44999999999999996,0.10017815526772142,0.0,0.5,0.008294838046832316,-32.827979149642054,,-0.95,0.0,-1.0091589520740474,below_lower_bound,True
CRM,base,0.5,0.1351314515343085,0.025,0.036566423432434825,0.6,0.1680039795978916,-0.05,1.0,0.18850860204574466,-4.737181696633598,-0.8886005446562193,-0.7007183042900578,0.0,-0.9692832404671415,valid,True
CRM,bull,0.25,0.24350393564068074,0.030000000000000002,0.07781560582259395,0.6,0.2679683485443473,-0.05,1.5,0.33467191418757436,43.73897620699389,-0.42138822255801633,-0.22385779373871628,56.7497642783547,-0.6906293502773674,valid,True
DIS,bear,0.25,-0.05122738994983156,0.02,0.06647152086838154,0.24211779562107197,0.10620378552772128,0.0,0.5,0.0,5.0419049812750325,-0.643048677779734,-0.4577389046084136,1.7944419497081037,-0.8793762616316841,valid,True
DIS,base,0.5,0.0695756116858064,0.025,0.11577769258226561,0.3228237274947626,0.19776903499718967,-0.023250659670825558,1.0,0.1879059194917116,41.58408084977384,-0.19971283812774343,-0.0847756423463579,49.46856586223447,-0.32607528219854953,valid,True
