ticker,event_date,source,event_type,detail,revaluation_status
APP,2026-09-11,price_shock,drawdown_from_high,-43%,requires_reunderwriting
WDC,2026-09-11,price_shock,drawdown_from_high,-40%,requires_reunderwriting
