ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,cashflow_period_semantics,ttm_cashflow_status,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,margin_mad_z,ocf_margin_mad_z,one_off_suspected,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,sec_status,sec_max_divergence,sec_confidence_penalty,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
VRSN,"VeriSign, Inc.",,,,,Technology,Software - Infrastructure,,,,,,,,292.71,2026-09-11,26460984000.0,,True,general_dcf,roic_not_meaningful:meaningless_capital,,8.0,2025.0,ttm,2026-07-23,,,,0.045288243162276975,,,0.6786111599039757,,,0.6581874834837056,,,,,,,-0.9814731674052515,,,,,,1.1013490725126476,0.03998392605987543,,,,,,-0.055145634820722766,,,,,,,,,,0.08189330327646203,,-1.0633664706817134,,1.0,0.2933,,,0.8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meaningless_capital,,
CVX,Chevron Corporation,,,,,Energy,Oil & Gas Integrated,,,,,,,,214.01,2026-09-11,426222316000.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-08-06,,,,0.02151287461971707,,,0.15828106807978495,,,0.09720176629979874,,,,,,,0.10841426715755562,0.006594393908605934,,,,,0.5044000706838664,0.0,,,,,,0.005944834684229017,,,,,,,,,,0.07233591199339878,,0.03607835516415683,,1.0,0.3376,,,0.32409,cyclical_revenue;peak_cycle_margins;incremental_roic_below_wacc,-0.12422623307065805,-0.08752931385533883,-0.47361785520915867,0.15177155063720416,0.25,0.12,0.75,0.47361785520915867,0.5936178552091587,0.47361785520915867,0.5936178552091587,13.796523813535186,93.6631975408775,317.2564432250264,13.796523813535186,317.2564432250264,False,,-0.5623419581286973,0.3329720029231814,0.3376,-0.20752931385533882,0.32409,valid,,,reinvestment_cap_hit,,False,ok,False,
COP,ConocoPhillips,,,,,Energy,Oil & Gas Exploration & Production,,,,,,,,137.35,2026-09-11,167332681861.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-08-06,,,,0.07121461957496167,,,0.21918067724366563,,,0.24218631094661808,,,,,,,0.11350385454803114,-0.021729601138507724,,,,,0.6077537502435223,0.0,,,,,,-0.016952387028984828,,,,,,,,,,0.07070853142429405,,0.042795323123737086,,1.0,0.6726,,,0.335421,cyclical_revenue;incremental_roic_below_wacc,0.00031095706071938845,0.017569675837876296,-0.3037007638486102,0.26980524041573517,0.25,0.12,0.25,0.3037007638486102,0.4237007638486102,0.3037007638486102,0.4237007638486102,21.09476597478017,103.9834819255229,328.93326680850504,21.09476597478017,328.93326680850504,False,,-0.24293060119750343,0.3066903721321727,0.6726,-0.10243032416212369,0.335421,valid,,,forward_roic_floor_hit;reinvestment_cap_hit,,False,ok,False,
MPC,Marathon Petroleum Corporation,,,,,Energy,Oil & Gas Refining & Marketing,,,,,,,,395.93,2026-09-11,115586616410.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-08-04,,,,0.06377033340935179,,,0.07954139465393485,,,0.04180573261894174,,,,,,,0.21445129826440792,0.2046404537909565,,,,,2.014277035236938,0.0,,,,,,-0.17380778999697977,,,,,,,,,,0.07037677465144972,,0.1440745236129582,,1.0,0.6901,,,0.31889700000000004,cyclical_revenue;peak_cycle_margins,-0.09426624482366602,0.07441386206628525,-0.95,0.42410729657276536,0.25,0.12,0.25,0.95,1.0699999999999998,0.95,1.0699999999999998,-80.10776577251873,396.17020413936234,1664.1461832529858,-80.10776577251873,1664.1461832529858,False,,0.0006066833515074865,0.7074867382863828,0.6901,-0.04558613793371474,0.31889700000000004,valid,,,share_change_floor_hit;reinvestment_cap_hit,,False,ok,True,bear
PSX,Phillips 66,,,,,Energy,Oil & Gas Refining & Marketing,,,,,,,,259.47,2026-09-11,104030609639.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-08-05,,,,0.024917086063704685,,,0.06669921875,,,0.028322227427678655,,,,,,,0.17261827118156567,0.09227967285465476,,,,,1.2635052179251074,0.0,,,,,,-0.052773599241814906,,,,,,,,,,0.07942171362621547,,0.0931965575553502,,1.0,0.4536,,,0.317844,cyclical_revenue;peak_cycle_margins,-0.2408493271526822,-0.0882023475714959,-0.95,0.16300738653226293,0.25,0.12,0.75,0.95,1.0699999999999998,0.95,1.0699999999999998,-4.273715317455082,107.91107113901259,377.1229546145894,-4.273715317455082,377.1229546145894,False,,-0.584109642197508,0.5769683732661315,0.4536,-0.20820234757149592,0.317844,valid,,,share_change_floor_hit;reinvestment_cap_hit,,False,ok,True,bear
FCX,Freeport-McMoRan Inc.,,,,,Basic Materials,Copper,,,,,,,,71.07,2026-09-11,102167389200.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,annual,2026-02-13,,,,0.04459196635694629,,,0.2443572510780467,,,0.26877164318609914,,,,,,,0.15517895775610127,-0.09281361335083443,,,,,0.8727443168502461,0.004282066391671577,,,,,,-0.0018412009428691034,,,,,,,,,,0.11179172499485905,,0.04338723276124222,,0.7,0.6617,,,0.324729,cyclical_revenue;incremental_roic_below_wacc,-0.15574725064507217,-0.15307086577522563,-0.3003198361722752,-0.016527434857562154,0.0,0.12,0.75,0.3003198361722752,0.4203198361722752,0.3003198361722752,0.4203198361722752,9.300760176606838,15.49726214395274,36.096694522927,9.300760176606838,36.096694522927,False,,-0.781943687294882,0.17115433065735652,0.6617,-0.27307086577522566,0.22731029999999997,valid,,,forward_roic_floor_hit;reinvestment_cap_hit,,False,ok,False,
RCL,Royal Caribbean Cruises Ltd.,,,,,Consumer Cyclical,Travel Services,,,,,,,,260.14,2026-09-11,69768247300.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-07-28,,,,0.0951297578173238,,,0.27320415373086393,,,0.1948857423143996,,,,,,,0.13971227835396455,1.0322532938013589,,,,,3.273055796472969,0.009757457485363814,,,,,,0.01922081227926009,,,,,,,,,,0.11719372942157145,,0.022518548932393093,,1.0,0.15,,,0.29548800000000003,elevated_leverage;thin_interest_coverage;cyclical_revenue,-0.06839204498537582,-0.16626881260890514,-0.95,1.008969445276307,0.25,0.12,0.75,0.95,1.0699999999999998,0.95,1.0699999999999998,-87.58910254717401,61.8729691484273,5392.676794914862,-87.58910254717401,5392.676794914862,False,,-0.7621551120610929,1.0006200826381535,0.15,-0.28626881260890513,0.29548800000000003,valid,,,forward_roic_cap_hit;reinvestment_cap_hit,bull_return_extreme,True,ok,True,bear
OXY,Occidental Petroleum Corporation,,,,,Energy,Oil & Gas Exploration & Production,,,,,,,,61.46,2026-09-11,61130248723.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-08-05,,,,0.047826061550417354,,,0.2300944669365722,,,0.18189802822830284,,,,,,,0.08108386883118894,-0.06896704238775772,,,,,0.7778437778437779,0.0,,,,,,0.0033817643510702933,,,,,,,,,,0.06930735698905643,,0.011776511842132506,,1.0,0.4429,,,0.327888,cyclical_revenue;incremental_roic_below_wacc,-0.1289612000226043,-0.07889215601026078,-0.492724353610538,0.1346638655406423,0.25,0.12,0.75,0.492724353610538,0.612724353610538,0.492724353610538,0.612724353610538,3.7635055735936342,27.398738034355972,84.23522375287547,3.7635055735936342,84.23522375287547,False,,-0.5542021146378788,0.3338574695755902,0.4429,-0.19889215601026078,0.327888,valid,,,forward_roic_floor_hit;reinvestment_cap_hit,,False,ok,False,
NUE,Nucor Corporation,,,,,Basic Materials,Steel,,,,,,,,259.43,2026-09-11,59082847630.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,ttm,2026-07-27,,,,0.0377659712539784,,,0.1147059638237168,,,0.11697359193322268,,,,,,,0.12273863589529743,-0.6325505968527176,,,,,0.7882310856734037,0.004093063334769496,,,,,,-0.046003808661662426,,,,,,,,,,0.133687339234117,,-0.01094870333881956,,1.0,0.3119,,,0.310149,cyclical_revenue;incremental_roic_below_wacc,-0.14977803580623,-0.1246422685740981,-0.4336396840473753,0.08381207797065146,0.0,0.12,0.75,0.4336396840473753,0.5536396840473753,0.4336396840473753,0.5536396840473753,16.194049757490408,59.16461250461882,199.11370901915458,16.194049757490408,199.11370901915458,False,,-0.7719438287606721,0.2794214110090134,0.3119,-0.2446422685740981,0.310149,valid,,,forward_roic_floor_hit;reinvestment_cap_hit,,False,ok,False,
XYZ,"Block, Inc.",,,,,Technology,Software - Infrastructure,,,,,,,,79.21,2026-09-11,47144284792.0,,True,general_dcf,insufficient_post_valuation_model_confidence,,8.0,2025.0,annual,2026-02-26,,,,0.32932929414529255,,,0.12588624890224445,,,0.007378305230987299,,,,,,,0.14271495010211266,0.13986343940496004,,,,,-0.8777142412071278,0.052766311653143834,,,,,,0.02465641756941883,,,,,,,,,,0.14,,0.0027149501021126454,,0.5499999999999999,0.117,,,0.290142,heavy_sbc;cyclical_revenue;peak_cycle_margins;incremental_roic_below_wacc,-0.3254514322907198,-0.3451424259576015,-0.4810263997875154,-0.13049447746016074,0.0,0.12,1.0,0.4810263997875154,0.6010263997875154,0.4810263997875154,0.6010263997875154,5.611695986262805,6.620546028178714,21.121544710269845,5.611695986262805,21.121544710269845,False,,-0.9164178004269825,0.2100617011636773,0.117,-0.46514242595760147,0.1595781,valid,,,wacc_cap_hit;reinvestment_cap_hit,,False,ok,False,
