rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,shares_outstanding,beta,specialist_model_note,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return
1,UHS,145.69,0.3155868919478962,0.33504099451820357,0.15706265460466962,0.435202924150508,1.0,0.12,0.0,0.0,0.0,0.0,0.0,184.91033474907195,345.16622180078735,489.24894427984765,184.91033474907195,489.24894427984765,False,,1.3691826604488115,0.76815,1.0,0.1460256347729192,0.7862,0.21504099451820358,0.76815,valid,,,share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,9121117092.0,0.7862,0.12468849972603302,0.22875878037240152,0.07884098680695006,0.045847512919082956,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8.0,2025.0,ttm,2026-05-07,2026-06-26,True,,,,0.0,0.0730128173864596,0.0,0.0,0.16518373993915808
2,VICI,27.21,0.29982140781306554,0.3484060858649538,0.15406737365740075,0.3484060858649538,1.0,0.12,0.0,0.0,0.0,0.0,0.0,55.70374045656307,121.29197331931697,121.29197331931697,55.70374045656307,121.29197331931697,False,,3.4576248922938984,0.6,0.8,0.11516935610377652,0.4592533119229225,0.2284060858649538,0.48,valid,,,specialist_model_v1,,False,specialist,False,,VICI Properties Inc.,Real Estate,REIT - Specialty,reit,29299188887.93494,,,,,,,,,,,,,,,,,2026-06-26,True,1076780186.9876862,0.676,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.05758467805188826,0.0,0.0,0.10963492121517783
3,OMC,73.09,0.26999260513402984,0.27685309546650383,0.184619766403921,0.34164446319919073,1.0,0.12,0.0,0.0,0.0,0.0,0.0,125.75770647164346,186.36944435884396,241.30041129706018,125.75770647164346,241.30041129706018,False,,1.5498624211088243,0.6114123000000001,0.85,0.09466997939763486,0.8037,0.15685309546650383,0.5197004550000001,valid,,,base_growth_cap_hit;wacc_floor_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,20831102866.0,0.8037,0.10625854426677338,0.02465586598481794,0.065,0.041258544266773375,0.14642359336986555,0.14972875016645534,0.017562263432874925,2.06084951795445,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8.0,2025.0,annual,2026-02-20,2026-06-26,True,,,,0.0,0.04733498969881743,0.0,0.0,0.08151662508210049
4,CTSH,40.03,0.2623844973742962,0.27241337862797077,0.16726066796109082,0.3374505642801524,1.0,0.12,0.0,0.0,0.0,0.0,0.0,55.33399835544584,79.46290923363637,100.52026033744079,55.33399835544584,100.52026033744079,False,,0.9850839179024822,0.8738,1.0,0.08888094815953079,0.8726,0.15241337862797077,0.8738,valid,,,,,False,ok,False,,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,general_dcf,18968976070.0,0.8726,0.1723955492618894,0.1406886596808351,0.08212095185097912,0.09027459741091029,0.14961661544644123,0.1566383257030739,0.03921825270499446,-0.10875127942681678,0.008867044993919741,-0.02773719033995936,,8.0,2025.0,ttm,2026-04-29,2026-06-26,True,,,,0.0,0.044440474079765396,0.0,0.0,0.13317881024512088
5,TTD,18.37,0.2599614327191376,0.2902443968690933,0.08415612434037031,0.37520081279799333,0.75,0.12,0.0,0.0,0.03584387565962968,0.0,0.03584387565962968,18.09868012795637,38.10702308986968,50.634723647573715,18.09868012795637,50.634723647573715,False,,1.0744160636837057,0.713,1.0,0.1541323442288115,0.9118,0.17024439686909332,0.713,valid,,,intrinsic_2x_price,,False,ok,False,,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,general_dcf,8635890353.0,0.9118,0.3288207697076124,0.48860470771143266,0.09248322406162679,0.23633754564598564,0.1711063344506371,0.20259066659481598,0.29379367691523206,-1.3554265927034115,0.20234486555512426,-0.015605915567558415,heavy_sbc,8.0,2025.0,ttm,2026-05-07,2026-06-26,True,,,,0.0,0.07706617211440575,0.0,0.03584387565962968,0.08554037930803385
6,FISV,49.45,0.24651192692690527,0.32279848475009204,-0.2167557429289445,0.5572064811363815,0.75,0.12,0.25,0.2167557429289445,0.3367557429289445,0.2167557429289445,0.3367557429289445,12.239896899339664,126.6690549395942,280.53979804194216,12.239896899339664,280.53979804194216,False,,1.5615582394255654,0.36863100000000004,1.0,0.405922182032663,0.6688,0.20279848475009205,0.36863100000000004,valid,,,forward_roic_cap_hit;share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"Fiserv, Inc.",Technology,Information Technology Services,general_dcf,26369410300.0,0.6688,0.0767878766895658,1.0079318519076124,0.07555242769568396,0.001235448993881838,0.2367339951540479,0.24376481744902798,0.20267803207389457,3.4091943014485815,0.01791232388833604,-0.06159539790027424,elevated_leverage;thin_interest_coverage;cyclical_revenue,8.0,2025.0,ttm,2026-05-06,2026-06-26,True,,,,0.2167557429289445,0.2029610910163315,0.125,0.3367557429289445,-0.2619979346970333
7,EOG,132.6,0.24440651409677236,0.2619795083999634,-0.009250330436043414,0.462917370023206,0.75,0.12,0.0,0.009250330436043414,0.12925033043604342,0.009250330436043414,0.12925033043604342,95.86706855911024,292.8969478068332,641.612463290222,95.86706855911024,641.612463290222,False,,1.2088759261450472,0.40428,1.0,0.2539554502296247,0.8337,0.14197950839996343,0.40428,valid,,,reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,"EOG Resources, Inc.",Energy,Oil & Gas Exploration & Production,general_dcf,70626605400.0,0.8337,0.1921508373909426,0.11979666979573474,0.06640982765821532,0.12574100973272728,0.3240782636756039,0.3692076821530469,0.03975957813758413,0.36241358830596976,0.00851227649927282,-0.03044624297727938,cyclical_revenue,8.0,2025.0,ttm,2026-05-05,2026-06-26,True,,,,0.009250330436043414,0.12697772511481234,0.0,0.12925033043604342,-0.07185085478010621
8,ARE,55.22,0.22445059907586368,0.24812090745922966,0.15343967392576574,0.24812090745922966,1.0,0.12,0.0,0.0,0.0,0.0,0.0,112.73813064347249,167.25522474603486,167.25522474603486,112.73813064347249,167.25522474603486,False,,2.0288885321628913,0.6,0.8,0.06534061676673195,0.6740484837747658,0.12812090745922966,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,reit,9623134180.0,,,,,,,,,,,,,,,,,2026-06-26,True,174269000.0,1.202,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03267030838336597,0.0,0.0,0.06149803558043024
9,ACN,128.98,0.2118599421621184,0.22315296771121215,0.12383046199101957,0.2773033712350297,1.0,0.12,0.0,0.0,0.0,0.0,0.0,146.3912792156375,207.32055998419807,252.13231963574793,146.3912792156375,252.13231963574793,False,,0.6073853309365644,0.8787,1.0,0.08037545462200506,0.9914,0.10315296771121216,0.8787,valid,,,,,False,ok,False,,Accenture plc,Technology,Information Technology Services,general_dcf,78928293219.0,0.9914,0.27626761611460315,0.1529257172134055,0.09222948839046831,0.18403812772413486,0.14685586785883348,0.14870495924143984,0.0787194628184662,-0.14013902069557826,0.029918271047864795,-0.01433226453267622,,8.0,2025.0,ttm,2026-06-18,2026-06-26,True,,,,0.0,0.04018772731100253,0.0,0.0,0.09064051272784213
10,CPT,116.31,0.19747226111873417,0.233200919529847,0.09028628588539567,0.233200919529847,0.75,0.12,0.0,0.0,0.029713714114604328,0.0,0.029713714114604328,179.19248927478904,331.7311506707928,331.7311506707928,179.19248927478904,331.7311506707928,False,,1.8521292293937992,0.6,0.8,0.08945731682222566,0.5401738393046427,0.11320091952984701,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Camden Property Trust,Real Estate,REIT - Residential,reit,11691481200.0,,,,,,,,,,,,,,,,,2026-06-26,True,100520000.0,0.814,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.04472865841111283,0.0,0.029713714114604328,0.024622727259722234
