ticker,event_date,source,event_type,detail,revaluation_status
CHTR,2026-06-26,price_shock,drawdown_from_high,-45%,requires_reunderwriting
FOXA,2026-06-26,price_shock,weekly_drop,-27%,requires_reunderwriting
ORCL,2026-06-26,price_shock,drawdown_from_high,-40%,requires_reunderwriting
